task,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state,block
task7_fixed_random_1,20,143,agent_1,7.573627922564566,19.31863430929137,50.9383451633751,-0.8197996005273972,6.573627922564566,4.2599156786439085,0.5755438772796517,21.172585988974237,21.503836743648332,-0.3312507546740948,0.0,0.0,active,0
task7_fixed_random_1,20,144,agent_1,7.608340070627379,19.43214555124243,50.93225219432251,-1.5206067195972777,6.608340070627379,0.1187001907008034,0.69847977949828,-2.2200087757034184,19.77170197031288,-0.8191247570420607,0.0,0.0,active,0
task7_fixed_random_1,20,145,agent_1,8.283509298192476,20.029395216706185,50.42877755818026,-0.9855740170034818,6.619680765840651,0.9014214601103149,-0.5497864689829454,2.0179509394551474,22.091918071244763,-1.1213899185187959,0.0,0.0,active,0
task7_fixed_random_1,20,146,agent_1,11.305499081597176,19.464292711965438,47.36397372467255,-0.08143414412188965,4.236704373115417,3.074371983327109,-0.9090990107017506,18.646302122933864,41.56468120543753,-1.9478509297776974,0.0,0.0,active,0
task7_fixed_random_1,20,147,agent_1,13.764939120416845,17.344204730092518,44.45529283178023,0.4765909383086625,0.9960137040105275,3.247093832249276,-0.5265695572504259,0.5848788163969747,43.77219963122956,-2.225126428400607,-1.345364110772147,0.0,active,0
task7_fixed_random_1,20,148,agent_1,15.395006018168443,17.1030101656081,42.81409042166633,-0.09132053780403285,0.10301016560810083,1.6478145857718174,0.5645312141518165,-341.2131821674996,44.072527875652185,-2.543821920152331,-142.54017903094265,-200.0,truncated,0
task7_fixed_random_1,40,344,agent_1,10.059754589539647,20.516721877338675,34.57833435471767,-0.9437520894555038,4.849367033796046,2.5579355391266985,0.6347145147962517,10.514446785298533,10.917309300591574,-0.4028625152930413,0.0,0.0,active,0
task7_fixed_random_1,40,345,agent_1,10.733569219273283,23.026713190579944,34.79680749547374,-1.6922390438761852,3.296050741227873,2.598861779277557,0.6738124499449587,1.651334637073913,13.022667155366314,-0.8568857329938688,0.0,0.0,active,0
task7_fixed_random_1,40,346,agent_1,8.611711529484355,27.4463431790775,38.56072191043035,-2.487893817531467,3.5536568209225017,4.902592099180116,0.7098693823688754,-11.518302416447582,2.0082792789434993,-1.3608002730186375,0.0,0.0,active,0
task7_fixed_random_1,40,347,agent_1,6.580505432671465,28.209297345972466,40.718031563101285,3.037265827481827,2.790702654027534,2.1697689435772305,0.7638854070829593,-3.8988598030458874,-1.2811227962965406,-1.9443211881729359,-0.025936812651549568,0.0,active,0
