experiment,episode,return_total,reward_progress,reward_collision,reward_safety,reward_rotation
exp1_empty_1,1,-335.5211095243359,-29.742647758082366,-150.0,-155.16199155211206,-0.6164702141414712
exp1_empty_1,2,-302.5280989315783,-1.196258560951863,-150.0,-149.6384886619165,-1.6933517087099228
exp1_empty_1,3,-296.2580722389157,6.8378270861431325,-150.0,-152.24242564586632,-0.8534736791924386
exp1_empty_1,4,-172.64270253082603,1.4149279182258079,-150.0,-21.87787174003824,-2.1797587090135955
exp1_empty_1,5,-180.74061363538993,-168.6470352211718,0.0,-3.9585003975592152,-8.135078016658852
exp1_empty_1,6,-152.80398340832028,4.364622983020878,-150.0,-7.041696329553103,-0.12691006178803216
exp1_empty_1,7,-307.3070686260154,-6.856135098466989,-150.0,-150.02250888191347,-0.42842464563496985
exp1_empty_1,8,523.5695278290782,526.6625335458564,0.0,-2.691211543201291,-0.40179417357694897
exp1_empty_1,9,-146.07649300356007,22.041353336814016,-150.0,-17.53847087438376,-0.5793754659903367
exp1_empty_1,10,-283.60350754817443,17.269678663230884,-150.0,-149.83847908885755,-1.0347071225478344
exp1_empty_1,11,-294.92779706249024,5.024398748332396,-150.0,-149.6306505157622,-0.32154529506049084
exp1_empty_1,12,-281.6563581662812,-16.631777581820543,-150.0,-114.77548777803766,-0.2490928064230195
exp1_empty_1,13,-297.447886380818,2.2898039984442455,-150.0,-149.62499999999997,-0.11269037926222947
exp1_empty_1,14,-266.02623932720644,34.08788280240864,-150.0,-149.62499999999997,-0.48912212961512996
exp1_empty_1,15,-246.57944316206815,58.16655240248491,-150.0,-154.38882456715646,-0.35717099739656305
exp1_empty_1,16,-299.7731168298635,1.2526464017785894,-150.0,-149.62499999999997,-1.4007632316421512
exp1_empty_1,17,-167.67728735811355,-8.488549932835232,-150.0,-8.472945352127937,-0.7157920731503543
exp1_empty_1,18,-226.2709106301704,4.626254902051101,-150.0,-80.68800331752894,-0.20916221469256802
exp1_empty_1,19,-289.89150935180373,10.491420552314317,-150.0,-149.62499999999997,-0.7579299041181073
exp1_empty_1,21,-179.43258634410333,-22.020795201711184,-150.0,-6.691417102598156,-0.7203740397939541
exp1_empty_1,22,-101.12550828028114,58.48600512303606,-150.0,-9.034704311518421,-0.5768090917987649
exp1_empty_1,23,-316.49050039390335,-16.45028751218002,-150.0,-149.62499999999997,-0.4152128817233738
exp1_empty_1,24,-319.96138867194105,-61.38851054384772,-150.0,-108.07756999494418,-0.49530813314913624
exp1_empty_1,25,-165.40670645569838,-3.3900968561481806,-150.0,-11.772491193266339,-0.2441184062838261
exp1_empty_1,26,-61.9897516440752,-51.806799942111546,0.0,-2.7058682729567742,-7.477083429006811
exp1_empty_1,27,-297.40197956660796,2.2603123942040186,-150.0,-149.62499999999997,-0.03729196081202498
exp1_empty_1,28,-286.576786289241,19.087353828720666,-150.0,-154.2826214143078,-1.3815187036538434
exp1_empty_1,29,-22.950822484443336,280.4671228162517,-150.0,-150.69122090048054,-2.7267244002145183
exp1_empty_1,30,-168.93603896886853,-7.180394804408926,-150.0,-11.42921553340501,-0.3264286310545974
exp1_empty_1,31,-152.36530281300685,20.255539411218002,-150.0,-22.065100112833367,-0.5557421113914554
exp1_empty_1,32,-86.59263410032409,74.77787788978647,-150.0,-10.237573916026854,-1.132938074083721
exp1_empty_1,33,-320.9729839995275,-20.590359587534508,-150.0,-149.62779670260375,-0.7548277093892237
exp1_empty_1,34,-317.6795241564865,-17.887880256463927,-150.0,-149.62499999999997,-0.16664390002252272
exp1_empty_1,35,-198.8461899483609,37.283810779372885,-150.0,-85.02852472487028,-1.1014760028634525
exp1_empty_1,36,-221.78454390912768,78.83231841333792,-150.0,-149.80146575604977,-0.8153965664158083
exp1_empty_1,37,-319.50407635787167,-19.304886998150117,-150.0,-149.98716850592513,-0.21202085379640798
exp1_empty_1,38,-270.09402337408346,29.7570509357116,-150.0,-149.62499999999997,-0.226074309795115
