experiment,episode,return_total,mean_v,mean_abs_omega,success_rate,collision_rate,mean_time_travel
exp2_fixed_1,1,-127.704865,2.9764366,0.15977961,0.0,1.0,4.0
exp2_fixed_1,2,-467.36536,3.054326,0.093459085,0.0,1.0,5.0
exp2_fixed_1,3,508.70752,1.6552945,0.38188773,1.0,0.0,17.0
exp2_fixed_1,4,578.8285,1.6830113,0.12455875,1.0,0.0,17.0
exp2_fixed_1,5,-98.20987,3.9135892,0.13108413,0.0,1.0,6.0
exp2_fixed_1,6,-351.21973,3.2770376,0.17199223,0.0,1.0,4.0
exp2_fixed_1,7,-95.08861,3.0068054,0.16001366,0.0,1.0,5.0
exp2_fixed_1,8,-181.26062,3.596463,0.1571505,0.0,1.0,7.0
exp2_fixed_1,9,452.3883,1.324601,0.27141184,1.0,0.0,17.0
exp2_fixed_1,10,561.8592,2.121814,0.23479158,1.0,0.0,17.0
exp2_fixed_1,11,586.773,1.4929082,0.3797364,1.0,0.0,28.0
exp2_fixed_1,12,583.60724,1.4730555,0.48974282,1.0,0.0,35.0
exp2_fixed_1,13,-75.35481,2.5083425,0.17837785,0.0,1.0,11.0
exp2_fixed_1,14,635.1919,1.4566373,0.1802271,1.0,0.0,31.0
exp2_fixed_1,15,585.70856,1.6802405,0.16897325,1.0,0.0,24.0
exp2_fixed_1,16,509.68228,1.165265,0.27810255,1.0,0.0,38.0
exp2_fixed_1,17,-115.47697,2.0289264,0.12685557,0.0,1.0,6.0
exp2_fixed_1,18,-95.057274,1.6279434,0.272083,0.0,1.0,15.0
exp2_fixed_1,19,452.728,0.8208255,0.43561208,1.0,0.0,49.0
exp2_fixed_1,21,598.44226,1.2631453,0.19981787,1.0,0.0,32.0
exp2_fixed_1,22,-533.3547,1.416977,0.07228283,0.0,1.0,6.0
exp2_fixed_1,23,-159.76604,0.4535727,0.14177673,0.0,1.0,21.0
exp2_fixed_1,24,-118.06866,1.9491053,0.08488455,0.0,1.0,10.0
exp2_fixed_1,25,519.47516,1.0781116,0.2586169,1.0,0.0,38.0
exp2_fixed_1,26,692.8818,1.4494814,0.12850286,1.0,0.0,33.0
