experiment,episode,return_total,reward_progress,reward_collision,reward_safety,reward_rotation
exp4_fixed_3,1,586.12756,613.74915,0.0,-25.579423904418945,-2.0421245
exp4_fixed_3,2,661.90106,687.3406,0.0,-24.24590301513672,-1.1935811
exp4_fixed_3,3,666.0071,670.27856,0.0,-2.916304349899292,-1.3552508
exp4_fixed_3,4,716.24335,719.3018,0.0,-0.7055902481079102,-2.3528986
exp4_fixed_3,5,610.802,621.1865,0.0,-9.705710411071777,-0.6788366
exp4_fixed_3,6,523.984,525.804,0.0,-0.45051300525665283,-1.3695478
exp4_fixed_3,7,35.373886,222.913,-150.0,-37.00469970703125,-0.534395
exp4_fixed_3,8,652.50146,672.4993,0.0,-17.899946212768555,-2.0979028
exp4_fixed_3,9,-92.52833,99.999275,-150.0,-42.27770233154297,-0.24989651
exp4_fixed_3,10,700.8258,708.06836,0.0,-5.32214879989624,-1.9203919
exp4_fixed_3,11,543.18787,545.315,0.0,-1.6285189390182495,-0.4986438
exp4_fixed_3,12,598.6609,605.7366,0.0,-2.5625858306884766,-4.5131288
exp4_fixed_3,13,597.47455,600.34265,0.0,-1.311081886291504,-1.5570384
exp4_fixed_3,14,635.5924,644.1327,0.0,-6.447463512420654,-2.0927439
exp4_fixed_3,15,-507.05902,43.439068,-150.0,-400.2131652832031,-0.28491724
exp4_fixed_3,16,666.2909,675.1903,0.0,-2.6066346168518066,-6.292742
exp4_fixed_3,17,608.7791,613.7809,0.0,-2.6332411766052246,-2.3685184
exp4_fixed_3,18,-339.83698,21.047106,-150.0,-210.7323760986328,-0.15170951
exp4_fixed_3,19,730.84033,733.52454,0.0,-1.7374101877212524,-0.9467754
exp4_fixed_3,21,-62.131454,123.47359,-150.0,-35.113731384277344,-0.4913113
exp4_fixed_3,22,620.9161,622.35205,0.0,-0.652851939201355,-0.7831248
exp4_fixed_3,23,495.18396,498.92285,0.0,-0.8399225473403931,-2.8989687
exp4_fixed_3,24,756.7775,758.15576,0.0,0.0,-1.3782446
exp4_fixed_3,25,708.0764,709.8761,0.0,-0.42344963550567627,-1.3762842
exp4_fixed_3,26,720.0653,723.44965,0.0,-1.4162468910217285,-1.9682169
exp4_fixed_3,27,623.9468,626.812,0.0,-0.9175485372543335,-1.9476396
exp4_fixed_3,28,726.82733,739.11334,0.0,-6.195420742034912,-6.090486
exp4_fixed_3,29,652.25757,656.18896,0.0,-1.1723151206970215,-2.759078
exp4_fixed_3,30,613.7172,618.3616,0.0,-2.4256534576416016,-2.2186422
exp4_fixed_3,31,650.7615,662.7803,0.0,-11.497159957885742,-0.52166545
exp4_fixed_3,32,675.0895,677.80225,0.0,-0.2114713191986084,-2.5011437
exp4_fixed_3,33,697.55914,707.2133,0.0,-8.21197509765625,-1.4422318
exp4_fixed_3,34,609.1712,612.0852,0.0,-1.684802532196045,-1.2291889
exp4_fixed_3,35,799.6018,820.9193,0.0,-11.653907775878906,-9.663315
exp4_fixed_3,36,665.90485,670.02405,0.0,-1.9984371662139893,-2.1208365
exp4_fixed_3,37,668.49146,673.27637,0.0,-1.538041114807129,-3.2468495
exp4_fixed_3,38,636.7276,641.7848,0.0,-0.9169769287109375,-4.1401825
exp4_fixed_3,39,702.06055,703.9281,0.0,-1.2829259634017944,-0.5846107
exp4_fixed_3,41,-97.13938,105.198204,-150.0,-51.6449089050293,-0.69266784
exp4_fixed_3,42,721.0235,725.52637,0.0,-3.6442508697509766,-0.8586522
exp4_fixed_3,43,687.213,711.0482,0.0,-18.9417724609375,-4.893596
exp4_fixed_3,44,690.96606,703.17163,0.0,-11.141528129577637,-1.0639946
exp4_fixed_3,45,687.15234,699.77344,0.0,-7.48156213760376,-5.139662
exp4_fixed_3,46,614.1421,618.11786,0.0,0.0,-3.9756994
exp4_fixed_3,47,185.10641,264.76743,0.0,-74.91432189941406,-4.7466974
exp4_fixed_3,48,608.76404,621.7273,0.0,-8.444653511047363,-4.5185456
exp4_fixed_3,49,624.72,626.5095,0.0,-1.4487801790237427,-0.34075463
exp4_fixed_3,50,624.47626,630.2096,0.0,-1.884369134902954,-3.8489385
exp4_fixed_3,51,608.8171,642.9105,0.0,-30.456501007080078,-3.636912
exp4_fixed_3,52,669.4845,690.3039,0.0,-19.11969566345215,-1.6997015
exp4_fixed_3,53,583.9141,593.69116,0.0,-6.730538368225098,-3.046473
exp4_fixed_3,54,700.4358,715.0119,0.0,-7.473442077636719,-7.102727
exp4_fixed_3,55,640.3227,656.7434,0.0,-13.665820121765137,-2.75483
exp4_fixed_3,56,653.9044,656.7499,0.0,-1.3132365942001343,-1.5321901
exp4_fixed_3,57,-535.3412,14.356709,-150.0,-399.40142822265625,-0.2964545
exp4_fixed_3,58,637.33264,641.2439,0.0,-0.7683349847793579,-3.1428874
exp4_fixed_3,59,607.021,610.673,0.0,-1.277421236038208,-2.3745136
exp4_fixed_3,61,731.0707,733.9315,0.0,-1.1553422212600708,-1.7054793
exp4_fixed_3,62,733.6632,743.3336,0.0,-8.024726867675781,-1.6456476
exp4_fixed_3,63,595.72546,601.081,0.0,-2.967169761657715,-2.3883986
exp4_fixed_3,64,717.1616,728.3992,0.0,-6.3681182861328125,-4.8694525
exp4_fixed_3,65,-26.88356,200.40001,-150.0,-76.24700164794922,-1.0365493
exp4_fixed_3,66,744.1923,755.13135,0.0,-4.518060684204102,-6.4209156
exp4_fixed_3,67,101.50937,115.5933,0.0,-13.031174659729004,-1.0528
exp4_fixed_3,68,653.17896,661.82837,0.0,-6.647130966186523,-2.0022502
exp4_fixed_3,69,568.40106,587.5972,0.0,-15.066191673278809,-4.1299872
exp4_fixed_3,70,695.7827,706.2294,0.0,-6.936316967010498,-3.5104449
exp4_fixed_3,71,702.6399,704.06165,0.0,-0.017059922218322754,-1.4047412
exp4_fixed_3,72,727.4458,737.47876,0.0,-5.185882091522217,-4.847137
exp4_fixed_3,73,593.7743,608.34326,0.0,-13.477802276611328,-1.0911343
exp4_fixed_3,74,609.5122,614.79584,0.0,-2.342036485671997,-2.941636
exp4_fixed_3,75,-78.7811,179.39156,-150.0,-103.5189208984375,-4.6537604
exp4_fixed_3,76,785.9146,807.01666,0.0,-15.377708435058594,-5.7243967
exp4_fixed_3,77,685.6986,687.6177,0.0,-1.009737491607666,-0.90933603
exp4_fixed_3,78,660.06116,676.0757,0.0,-10.152639389038086,-5.861852
exp4_fixed_3,79,728.7259,743.4018,0.0,-11.856672286987305,-2.8192668
exp4_fixed_3,81,732.5842,739.91077,0.0,-5.942501544952393,-1.3840042
exp4_fixed_3,82,628.63605,634.0951,0.0,-3.503859043121338,-1.9551288
exp4_fixed_3,83,70.80928,248.26959,-150.0,-26.291610717773438,-1.1686742
exp4_fixed_3,84,627.2222,631.21716,0.0,-1.77144455909729,-2.2235487
exp4_fixed_3,85,709.7014,726.8342,0.0,-10.05398941040039,-7.0787654
exp4_fixed_3,86,529.06976,532.0908,0.0,-2.0553700923919678,-0.9656883
exp4_fixed_3,87,84.17175,263.57834,-150.0,-28.354686737060547,-1.0518874
exp4_fixed_3,88,670.69336,673.0124,0.0,-0.5313032865524292,-1.787744
exp4_fixed_3,89,725.5442,736.9909,0.0,-8.684806823730469,-2.7618527
exp4_fixed_3,90,-51.54705,126.10039,-150.0,-26.989971160888672,-0.6573919
exp4_fixed_3,91,688.71106,693.4923,0.0,-0.7322168350219727,-4.0490746
exp4_fixed_3,92,549.61646,551.1278,0.0,-0.06632232666015625,-1.4450241
exp4_fixed_3,93,664.64655,670.5366,0.0,-3.1226773262023926,-2.7674813
exp4_fixed_3,94,74.80272,254.69125,-150.0,-28.845651626586914,-1.0429054
exp4_fixed_3,95,711.67615,716.4935,0.0,-2.5226969718933105,-2.2945657
exp4_fixed_3,96,581.47186,620.13025,0.0,-36.008724212646484,-2.6496618
exp4_fixed_3,97,632.3375,635.2343,0.0,-0.4491215944290161,-2.4477098
exp4_fixed_3,98,733.8168,736.34326,0.0,0.0,-2.5265596
exp4_fixed_3,99,663.1167,666.1802,0.0,-1.1821112632751465,-1.8813585
exp4_fixed_3,101,660.2734,665.30286,0.0,-2.4771575927734375,-2.5522428
exp4_fixed_3,102,542.4638,591.033,0.0,-46.55459213256836,-2.0145867
exp4_fixed_3,103,662.1235,669.855,0.0,-5.30681037902832,-2.4246964
exp4_fixed_3,104,688.6595,695.1666,0.0,-5.738328456878662,-0.76878583
exp4_fixed_3,105,621.0169,627.6665,0.0,-4.096989631652832,-2.5526655
exp4_fixed_3,106,594.7771,612.3954,0.0,-13.445146560668945,-4.1731825
exp4_fixed_3,107,712.9354,717.5358,0.0,-3.348224401473999,-1.2522196
exp4_fixed_3,108,656.6206,662.7167,0.0,-4.079864501953125,-2.016226
exp4_fixed_3,109,40.514084,223.11163,-150.0,-29.522274017333984,-3.0752463
exp4_fixed_3,110,751.52637,752.91345,0.0,-0.1638861894607544,-1.2232033
exp4_fixed_3,111,514.0475,517.88794,0.0,-2.056828737258911,-1.7836401
exp4_fixed_3,112,656.74365,665.9231,0.0,-6.442208766937256,-2.7372549
exp4_fixed_3,113,725.9255,726.9859,0.0,-0.10518169403076172,-0.95520604
exp4_fixed_3,114,638.6151,644.2517,0.0,-3.779665946960449,-1.8569003
exp4_fixed_3,115,682.77136,685.49866,0.0,-1.1364611387252808,-1.590863
exp4_fixed_3,116,699.25977,701.0762,0.0,-1.2115869522094727,-0.6047273
exp4_fixed_3,117,-136.68867,186.30035,-150.0,-171.29464721679688,-1.6943315
