experiment,episode,return_total,reward_progress,reward_collision,reward_safety,reward_rotation
exp5_crossing_1,1,-77.73711395263672,70.70615,-100.0,-47.783832308181736,-0.6594311
exp5_crossing_1,2,-99.62776947021484,38.85029,-100.0,-38.41889051145869,-0.059156474
exp5_crossing_1,3,-22.216781616210938,87.20285,-100.0,-9.318300397330887,-0.101332456
exp5_crossing_1,4,-20.492332458496094,85.09948,-100.0,-5.28672033083213,-0.3050984
exp5_crossing_1,5,-92.62329864501953,58.496582,-100.0,-51.09845047112295,-0.021439672
exp5_crossing_1,6,579.038330078125,579.71155,0.0,-0.13927320327270332,-0.53391105
exp5_crossing_1,7,-69.13247680664062,39.771725,-100.0,-8.649586837908737,-0.25461653
exp5_crossing_1,8,-17.735191345214844,85.27148,-100.0,-2.9378343886740113,-0.06883048
exp5_crossing_1,9,545.519775390625,546.276,0.0,-0.5274274965080976,-0.22880107
exp5_crossing_1,10,553.244873046875,553.7157,0.0,-0.41158568272000046,-0.059277553
exp5_crossing_1,11,-78.17249298095703,26.465708,-100.0,-4.408208393322888,-0.22999085
exp5_crossing_1,12,-40.710548400878906,70.74671,-100.0,-10.745179775374204,-0.7120842
exp5_crossing_1,13,-79.40337371826172,58.46388,-100.0,-37.353675710516605,-0.5135737
exp5_crossing_1,14,-76.74811553955078,29.524406,-100.0,-6.228155982966911,-0.044365183
exp5_crossing_1,15,583.9976806640625,585.65015,0.0,-0.3800644828780621,-1.2723421
exp5_crossing_1,16,-35.47782897949219,70.98862,-100.0,-6.297796529172535,-0.16864003
exp5_crossing_1,17,-72.15185546875,75.348656,-100.0,-47.39812508218696,-0.1023911
exp5_crossing_1,18,-118.16040802001953,32.888283,-100.0,-50.8604643533805,-0.1882291
exp5_crossing_1,19,-68.6314926147461,49.582626,-100.0,-17.594814512617223,-0.6193074
exp5_crossing_1,21,-60.65107345581055,48.717953,-100.0,-9.153917954042859,-0.21510965
exp5_crossing_1,22,-92.08007049560547,58.237747,-100.0,-50.2539240776837,-0.06388972
exp5_crossing_1,23,-36.33412170410156,67.56797,-100.0,-3.707937094063154,-0.19416136
exp5_crossing_1,24,-58.748016357421875,93.59099,-100.0,-51.95128802304993,-0.38771722
exp5_crossing_1,25,596.3966674804688,598.0957,0.0,-0.21761445028721882,-1.481506
exp5_crossing_1,26,587.3947143554688,589.6481,0.0,-1.1953325244953326,-1.0580635
exp5_crossing_1,27,-29.901290893554688,122.79505,-100.0,-52.53179029935828,-0.16453394
exp5_crossing_1,28,-51.643165588378906,102.681984,-100.0,-53.60996344934111,-0.7151624
exp5_crossing_1,29,-15.282630920410156,87.465744,-100.0,-2.3661842294979794,-0.38219807
exp5_crossing_1,30,8.095756530761719,112.4146,-100.0,-4.178522460473406,-0.14030637
exp5_crossing_1,31,586.480224609375,587.49634,0.0,-0.5457384085397906,-0.47044188
exp5_crossing_1,32,-28.41547393798828,75.01932,-100.0,-2.7965557537530015,-0.63823915
exp5_crossing_1,33,-56.04722213745117,47.014675,-100.0,-2.530227414020734,-0.5316697
