experiment,episode,return_total,mean_v,mean_abs_omega,success_rate,collision_rate,mean_time_travel
exp5_crossing_1,1,-77.73711395263672,1.0016494,0.3809557,0.0,1.0,11.0
exp5_crossing_1,2,-99.62776947021484,2.263931,0.2429637,0.0,1.0,4.0
exp5_crossing_1,3,-22.216781616210938,2.2574816,0.22791226,0.0,1.0,6.0
exp5_crossing_1,4,-20.492332458496094,1.9275488,0.39217958,0.0,1.0,9.0
exp5_crossing_1,5,-92.62329864501953,2.0239885,0.108618006,0.0,1.0,7.0
exp5_crossing_1,6,579.038330078125,0.734109,0.16494116,1.0,0.0,30.0
exp5_crossing_1,7,-69.13247680664062,1.1373235,0.29549298,0.0,1.0,6.0
exp5_crossing_1,8,-17.735191345214844,1.8921015,0.1704322,0.0,1.0,7.0
exp5_crossing_1,9,545.519775390625,1.8654026,0.20577331,1.0,0.0,12.0
exp5_crossing_1,10,553.244873046875,1.6289523,0.11788017,1.0,0.0,14.0
exp5_crossing_1,11,-78.17249298095703,1.3748281,0.40911677,0.0,1.0,4.0
exp5_crossing_1,12,-40.710548400878906,1.02617,0.39675653,0.0,1.0,11.0
exp5_crossing_1,13,-79.40337371826172,0.7942114,0.33183083,0.0,1.0,11.0
exp5_crossing_1,14,-76.74811553955078,1.0756804,0.14282207,0.0,1.0,7.0
exp5_crossing_1,15,583.9976806640625,0.8764169,0.33632162,1.0,0.0,30.0
exp5_crossing_1,16,-35.47782897949219,0.99646556,0.19313528,0.0,1.0,10.0
exp5_crossing_1,17,-72.15185546875,0.9599801,0.17996933,0.0,1.0,11.0
exp5_crossing_1,18,-118.16040802001953,0.73293465,0.22489877,0.0,1.0,10.0
exp5_crossing_1,19,-68.6314926147461,0.57075137,0.34731922,0.0,1.0,11.0
exp5_crossing_1,21,-60.65107345581055,0.6701202,0.16029342,0.0,1.0,12.0
exp5_crossing_1,22,-92.08007049560547,0.77250785,0.1606588,0.0,1.0,10.0
exp5_crossing_1,23,-36.33412170410156,0.7586809,0.1986137,0.0,1.0,12.0
exp5_crossing_1,24,-58.748016357421875,0.46436492,0.18398905,0.0,1.0,24.0
exp5_crossing_1,25,596.3966674804688,0.7927475,0.35205248,1.0,0.0,37.0
exp5_crossing_1,26,587.3947143554688,0.65205836,0.24260306,1.0,0.0,43.0
exp5_crossing_1,27,-29.901290893554688,0.6273509,0.12122413,0.0,1.0,26.0
exp5_crossing_1,28,-51.643165588378906,0.4240283,0.19468321,0.0,1.0,32.0
exp5_crossing_1,29,-15.282630920410156,0.41841197,0.17819048,0.0,1.0,24.0
exp5_crossing_1,30,8.095756530761719,0.5467358,0.12553963,0.0,1.0,25.0
exp5_crossing_1,31,586.480224609375,0.513122,0.16121535,1.0,0.0,44.0
exp5_crossing_1,32,-28.41547393798828,0.5440215,0.28004953,0.0,1.0,20.0
exp5_crossing_1,33,-56.04722213745117,0.3956318,0.2615585,0.0,1.0,14.0
exp5_crossing_1,34,-46.52842712402344,0.3796458,0.18119289,0.0,1.0,26.0
exp5_crossing_1,35,-0.8678817749023438,0.49932668,0.14625144,0.0,1.0,24.0
exp5_crossing_1,36,584.2297973632812,0.50160795,0.112948075,1.0,0.0,47.0
exp5_crossing_1,37,-104.12327575683594,0.5042004,0.15931547,0.0,1.0,12.0
exp5_crossing_1,38,-45.396175384521484,0.32551247,0.13652192,0.0,1.0,23.0
exp5_crossing_1,39,-82.26458740234375,0.32066104,0.18524341,0.0,1.0,24.0
exp5_crossing_1,41,-32.019004821777344,0.5960987,0.09912557,0.0,1.0,26.0
exp5_crossing_1,42,-11.622817993164062,0.46868014,0.12744384,0.0,1.0,33.0
exp5_crossing_1,43,-63.80339813232422,0.43255827,0.12997235,0.0,1.0,24.0
exp5_crossing_1,44,-56.03009796142578,0.40684816,0.14009823,0.0,1.0,26.0
exp5_crossing_1,45,592.5369873046875,0.429845,0.17463236,1.0,0.0,60.0
exp5_crossing_1,46,-53.53822708129883,0.4335324,0.26142368,0.0,1.0,14.0
exp5_crossing_1,47,-10.247314453125,0.4156761,0.17035513,0.0,1.0,25.0
exp5_crossing_1,48,-69.0449447631836,0.46163812,0.08018803,0.0,1.0,16.0
exp5_crossing_1,49,-5.590606689453125,0.49787176,0.28329417,0.0,1.0,25.0
exp5_crossing_1,50,-13.244293212890625,0.47167766,0.17554606,0.0,1.0,23.0
exp5_crossing_1,51,-99.97831726074219,0.5922458,0.23762569,0.0,1.0,11.0
exp5_crossing_1,52,-64.45816040039062,0.44898587,0.24056594,0.0,1.0,23.0
exp5_crossing_1,53,-57.12944793701172,0.45209324,0.16082054,0.0,1.0,25.0
exp5_crossing_1,54,-96.17656707763672,0.8260259,0.12136715,0.0,1.0,11.0
exp5_crossing_1,55,588.4512939453125,0.62061656,0.14450482,1.0,0.0,42.0
exp5_crossing_1,56,14.715850830078125,0.60343117,0.14352332,0.0,1.0,24.0
exp5_crossing_1,57,-32.11625671386719,0.5522738,0.10579088,0.0,1.0,26.0
exp5_crossing_1,58,-99.76324462890625,0.5848791,0.23922001,0.0,1.0,11.0
exp5_crossing_1,59,-8.095291137695312,0.53122157,0.20514153,0.0,1.0,24.0
exp5_crossing_1,61,-63.334564208984375,0.4513822,0.07476763,0.0,1.0,23.0
exp5_crossing_1,62,-91.74476623535156,0.6513199,0.21705188,0.0,1.0,14.0
exp5_crossing_1,63,-53.33964538574219,0.6877027,0.22474863,0.0,1.0,12.0
exp5_crossing_1,64,-90.62899780273438,0.7944963,0.12796205,0.0,1.0,11.0
exp5_crossing_1,65,-52.361419677734375,0.47168443,0.1168474,0.0,1.0,13.0
exp5_crossing_1,66,607.2742919921875,0.6533868,0.34525236,1.0,0.0,48.0
exp5_crossing_1,67,-43.47360610961914,0.5874156,0.29847708,0.0,1.0,13.0
exp5_crossing_1,68,-95.20101928710938,0.5779909,0.1638733,0.0,1.0,14.0
exp5_crossing_1,69,-39.1032600402832,0.7197676,0.090973616,0.0,1.0,13.0
exp5_crossing_1,70,-37.64905548095703,0.6346348,0.1457523,0.0,1.0,23.0
exp5_crossing_1,71,604.1517944335938,0.611729,0.26055762,1.0,0.0,46.0
exp5_crossing_1,72,16.373245239257812,0.607906,0.15468822,0.0,1.0,27.0
exp5_crossing_1,73,-94.96790313720703,0.53741825,0.24887945,0.0,1.0,13.0
exp5_crossing_1,74,-60.20594024658203,0.5196153,0.4162554,0.0,1.0,13.0
exp5_crossing_1,75,-52.41350555419922,0.5478434,0.37315392,0.0,1.0,12.0
exp5_crossing_1,76,-40.70453643798828,0.6721918,0.15357175,0.0,1.0,22.0
