experiment,episode,return_total,mean_v,mean_abs_omega,success_rate,collision_rate,mean_time_travel
exp5_empty_2,1,628.2521,1.4748056,0.18161541,1.0,0.0,26.0
exp5_empty_2,2,611.37506,1.6371692,0.08833674,1.0,0.0,21.0
exp5_empty_2,3,631.0932,1.5869554,0.17660497,1.0,0.0,26.0
exp5_empty_2,4,-4.289612,1.858443,0.09526969,0.0,1.0,16.0
exp5_empty_2,5,13.936844,1.66555,0.08047177,0.0,1.0,20.0
exp5_empty_2,6,559.4457,1.5955579,0.066534445,1.0,0.0,16.0
exp5_empty_2,7,672.3898,1.86532,0.08433405,1.0,0.0,23.0
exp5_empty_2,8,-130.81378,1.7833904,0.055989873,0.0,1.0,10.0
exp5_empty_2,9,652.52673,1.7429955,0.09371975,1.0,0.0,23.0
exp5_empty_2,10,545.1666,1.4737285,0.10498002,1.0,0.0,16.0
exp5_empty_2,11,556.5786,1.4277456,0.0954889,1.0,0.0,19.0
exp5_empty_2,12,602.9945,1.3551675,0.12172589,1.0,0.0,25.0
exp5_empty_2,13,-346.14697,1.4609965,0.10047443,0.0,1.0,25.0
exp5_empty_2,14,644.4864,1.3471093,0.05360567,1.0,0.0,30.0
exp5_empty_2,15,-70.27643,1.3527182,0.14552166,0.0,1.0,15.0
exp5_empty_2,16,630.1339,1.6323564,0.28418282,1.0,0.0,25.0
exp5_empty_2,17,696.0977,1.5181623,0.23579443,1.0,0.0,32.0
exp5_empty_2,18,589.47546,1.3010164,0.110231936,1.0,0.0,28.0
exp5_empty_2,19,607.2078,1.1429924,0.05544193,1.0,0.0,31.0
exp5_empty_2,21,704.4828,1.4715413,0.10419545,1.0,0.0,37.0
exp5_empty_2,22,667.8668,1.2742448,0.07116157,1.0,0.0,35.0
exp5_empty_2,23,609.2926,1.3363435,0.09671386,1.0,0.0,26.0
exp5_empty_2,24,595.8999,1.1562502,0.10789769,1.0,0.0,29.0
exp5_empty_2,25,-281.71588,1.3408,0.06512783,0.0,1.0,20.0
exp5_empty_2,26,650.75977,1.2165767,0.08591059,1.0,0.0,40.0
exp5_empty_2,27,657.2671,1.2118461,0.07874354,1.0,0.0,36.0
exp5_empty_2,28,631.602,1.2062678,0.12421848,1.0,0.0,33.0
exp5_empty_2,29,653.0397,1.2138739,0.08535375,1.0,0.0,39.0
exp5_empty_2,30,729.66504,1.2604197,0.081076115,1.0,0.0,46.0
exp5_empty_2,31,636.54565,1.1593745,0.10093764,1.0,0.0,35.0
exp5_empty_2,32,-75.90233,1.1699696,0.084233515,0.0,1.0,16.0
exp5_empty_2,33,569.06146,1.0721108,0.1261945,1.0,0.0,29.0
exp5_empty_2,34,585.73395,1.1756616,0.15979376,1.0,0.0,27.0
exp5_empty_2,35,642.0443,1.0436339,0.083986744,1.0,0.0,45.0
exp5_empty_2,36,578.81323,0.95448226,0.09189713,1.0,0.0,34.0
exp5_empty_2,37,758.2693,1.0375223,0.07800694,1.0,0.0,61.0
exp5_empty_2,38,79.409134,0.79478365,0.059504956,0.0,1.0,63.0
exp5_empty_2,39,625.6742,1.1798484,0.21658616,1.0,0.0,33.0
exp5_empty_2,41,-351.52454,0.8819264,0.055138674,0.0,1.0,42.0
exp5_empty_2,42,-163.65878,0.9597717,0.058266215,0.0,1.0,9.0
exp5_empty_2,43,-505.47803,1.2341671,0.10033249,0.0,1.0,8.0
exp5_empty_2,44,621.487,0.8292862,0.0850093,1.0,0.0,49.0
exp5_empty_2,45,-413.6847,1.3955932,0.08365544,0.0,1.0,19.0
exp5_empty_2,46,634.947,0.885804,0.07248906,1.0,0.0,48.0
exp5_empty_2,47,597.6396,1.2197615,0.10643552,1.0,0.0,28.0
exp5_empty_2,48,661.5033,0.96379375,0.11570465,1.0,0.0,51.0
exp5_empty_2,49,625.515,0.76692635,0.1758173,1.0,0.0,58.0
exp5_empty_2,50,743.0427,1.3293089,0.30634087,1.0,0.0,45.0
exp5_empty_2,51,255.71516,0.5824507,0.09510172,0.0,0.0,100.0
exp5_empty_2,52,630.4438,0.9219558,0.20223661,1.0,0.0,48.0
exp5_empty_2,53,690.86145,0.8628897,0.10568846,1.0,0.0,65.0
exp5_empty_2,54,-442.594,1.4397683,0.09181686,0.0,1.0,13.0
exp5_empty_2,55,642.7412,1.0169585,0.09678581,1.0,0.0,45.0
exp5_empty_2,56,596.6063,1.3946478,0.11881217,1.0,0.0,25.0
exp5_empty_2,57,600.425,1.007814,0.11413587,1.0,0.0,38.0
exp5_empty_2,58,560.37054,0.73680973,0.07886442,1.0,0.0,45.0
exp5_empty_2,59,602.11487,0.9831355,0.08654936,1.0,0.0,40.0
exp5_empty_2,61,602.0076,1.065603,0.14021535,1.0,0.0,34.0
exp5_empty_2,62,568.5884,0.7846067,0.10081393,1.0,0.0,45.0
exp5_empty_2,63,629.4061,0.80153966,0.069751464,1.0,0.0,59.0
exp5_empty_2,64,553.94165,0.9401109,0.06437113,1.0,0.0,36.0
exp5_empty_2,65,617.64294,0.93201137,0.06963751,1.0,0.0,48.0
exp5_empty_2,66,603.7829,0.84524727,0.069411606,1.0,0.0,48.0
exp5_empty_2,67,605.1008,0.9930106,0.14908454,1.0,0.0,39.0
exp5_empty_2,68,638.7997,0.8907994,0.10562058,1.0,0.0,49.0
exp5_empty_2,69,605.26825,0.9014765,0.09346955,1.0,0.0,55.0
exp5_empty_2,70,619.52344,1.1191515,0.093172,1.0,0.0,37.0
exp5_empty_2,71,567.29236,1.198521,0.090203226,1.0,0.0,24.0
exp5_empty_2,72,718.46063,1.5679252,0.08633338,1.0,0.0,33.0
exp5_empty_2,73,-21.296051,0.92745817,0.096598744,0.0,1.0,37.0
exp5_empty_2,74,-25.986755,0.8239974,0.07248942,0.0,1.0,38.0
exp5_empty_2,75,591.24567,0.9888799,0.094573855,1.0,0.0,34.0
exp5_empty_2,76,643.3016,1.5781771,0.1600104,1.0,0.0,27.0
exp5_empty_2,77,-250.89684,1.0890093,0.12989827,0.0,1.0,13.0
exp5_empty_2,78,644.03754,1.373083,0.09979057,1.0,0.0,30.0
exp5_empty_2,79,-361.52228,1.1918586,0.110902414,0.0,1.0,31.0
exp5_empty_2,81,720.93634,1.1115062,0.112060025,1.0,0.0,52.0
exp5_empty_2,82,652.9437,1.8315811,0.26352832,1.0,0.0,26.0
exp5_empty_2,83,621.68115,1.0376332,0.120526046,1.0,0.0,39.0
exp5_empty_2,84,-454.09204,1.083446,0.083840884,0.0,1.0,21.0
exp5_empty_2,85,-103.949646,1.9721609,0.10712626,0.0,1.0,6.0
exp5_empty_2,86,553.2551,1.214578,0.14610077,1.0,0.0,23.0
exp5_empty_2,87,706.0791,2.004413,0.1472577,1.0,0.0,25.0
exp5_empty_2,88,-150.42522,1.7494059,0.07395247,0.0,1.0,3.0
exp5_empty_2,89,485.43793,1.4380718,0.0934948,1.0,0.0,25.0
exp5_empty_2,90,649.60114,0.96685994,0.4045731,1.0,0.0,57.0
exp5_empty_2,91,-107.76051,1.7467114,0.096802294,0.0,1.0,6.0
exp5_empty_2,92,-497.7186,1.2528713,0.062006343,0.0,1.0,8.0
exp5_empty_2,93,646.573,1.0813535,0.10605596,1.0,0.0,40.0
exp5_empty_2,94,696.63495,1.3949635,0.26592347,1.0,0.0,36.0
exp5_empty_2,95,-51.565887,1.5164791,0.094701186,0.0,1.0,17.0
exp5_empty_2,96,621.8782,1.3531542,0.11012112,1.0,0.0,29.0
exp5_empty_2,97,595.1074,1.3461137,0.09754798,1.0,0.0,31.0
exp5_empty_2,98,617.35724,0.8794369,0.10515083,1.0,0.0,46.0
exp5_empty_2,99,715.83044,1.1856378,0.4217703,1.0,0.0,52.0
exp5_empty_2,101,569.6836,0.9183681,0.087521546,1.0,0.0,33.0
exp5_empty_2,102,670.7047,1.1471732,0.09449244,1.0,0.0,40.0
exp5_empty_2,103,568.8541,1.1894665,0.105830826,1.0,0.0,24.0
exp5_empty_2,104,648.7821,0.9376133,0.18569064,1.0,0.0,53.0
exp5_empty_2,105,686.01843,1.0330195,0.073263176,1.0,0.0,50.0
exp5_empty_2,106,689.8994,1.0623025,0.09997679,1.0,0.0,47.0
exp5_empty_2,107,-114.2528,1.2267193,0.07264496,0.0,1.0,10.0
exp5_empty_2,108,333.18042,0.87426156,0.4963541,0.0,0.0,100.0
exp5_empty_2,109,760.3696,1.9362328,0.09062015,1.0,0.0,29.0
exp5_empty_2,110,530.19385,2.031014,0.19206755,1.0,0.0,10.0
exp5_empty_2,111,630.41284,0.8851733,0.07761685,1.0,0.0,51.0
exp5_empty_2,112,-281.874,0.973366,0.10274791,0.0,1.0,51.0
exp5_empty_2,113,579.4,1.6746581,0.31483918,1.0,0.0,23.0
exp5_empty_2,114,624.2772,0.658438,0.07947368,1.0,0.0,71.0
exp5_empty_2,115,701.29114,1.073252,0.094701916,1.0,0.0,49.0
exp5_empty_2,116,244.58629,0.7749512,0.47529972,0.0,0.0,100.0
exp5_empty_2,117,717.5523,1.9693456,0.34262237,1.0,0.0,30.0
exp5_empty_2,118,630.59644,0.98273444,0.12334966,1.0,0.0,43.0
exp5_empty_2,119,661.6844,1.1202655,0.14009945,1.0,0.0,41.0
exp5_empty_2,121,740.39087,1.962648,0.15128888,1.0,0.0,29.0
exp5_empty_2,122,543.2615,0.8747006,0.12178212,1.0,0.0,31.0
exp5_empty_2,123,645.7796,1.7319238,0.27092203,1.0,0.0,26.0
exp5_empty_2,124,635.8536,1.1302414,0.063255526,1.0,0.0,36.0
exp5_empty_2,125,724.5676,1.9024118,0.21622112,1.0,0.0,27.0
exp5_empty_2,126,601.3838,1.2896168,0.15503997,1.0,0.0,26.0
exp5_empty_2,127,624.97046,1.571899,0.18623872,1.0,0.0,25.0
exp5_empty_2,128,625.2617,0.86249536,0.09529111,1.0,0.0,50.0
exp5_empty_2,129,677.58716,2.00164,0.18614441,1.0,0.0,24.0
exp5_empty_2,130,697.71704,1.2765634,0.07281761,1.0,0.0,38.0
exp5_empty_2,131,580.1034,0.83331466,0.07514966,1.0,0.0,41.0
exp5_empty_2,132,645.7885,1.2505902,0.10321471,1.0,0.0,34.0
exp5_empty_2,133,546.6801,0.756631,0.09145684,1.0,0.0,39.0
exp5_empty_2,134,607.2883,0.9919277,0.0811178,1.0,0.0,38.0
exp5_empty_2,135,636.3207,0.7270044,0.8515945,1.0,0.0,93.0
exp5_empty_2,136,688.7094,1.4462805,0.11933865,1.0,0.0,35.0
exp5_empty_2,137,656.9855,1.2082967,0.10449827,1.0,0.0,39.0
exp5_empty_2,138,645.5984,1.0181241,0.059967924,1.0,0.0,44.0
exp5_empty_2,139,-194.40073,1.6182127,0.2080228,0.0,1.0,5.0
exp5_empty_2,141,596.3369,0.89677596,0.06900929,1.0,0.0,41.0
exp5_empty_2,142,683.6766,1.2596768,0.117932454,1.0,0.0,39.0
exp5_empty_2,143,583.8919,0.9983564,0.073763035,1.0,0.0,37.0
exp5_empty_2,144,657.32605,1.6419022,0.2707828,1.0,0.0,31.0
exp5_empty_2,145,-531.23254,0.70077646,0.23868348,0.0,1.0,8.0
exp5_empty_2,146,733.9888,1.0841132,0.14554624,1.0,0.0,56.0
exp5_empty_2,147,743.38245,1.327327,0.097177215,1.0,0.0,44.0
exp5_empty_2,148,606.2761,1.3800011,0.15131618,1.0,0.0,25.0
exp5_empty_2,149,628.6946,1.2521808,0.17112957,1.0,0.0,35.0
exp5_empty_2,150,559.0077,1.0510335,0.12196072,1.0,0.0,26.0
exp5_empty_2,151,600.6787,0.74811846,0.06891822,1.0,0.0,52.0
exp5_empty_2,152,679.9629,0.9742838,0.06402353,1.0,0.0,52.0
exp5_empty_2,153,684.2278,0.78005826,0.071880676,1.0,0.0,75.0
exp5_empty_2,154,509.88483,0.9721997,0.15154356,1.0,0.0,26.0
exp5_empty_2,155,-343.2158,0.83124405,0.08055409,0.0,1.0,51.0
exp5_empty_2,156,666.079,1.1018137,0.09630549,1.0,0.0,43.0
exp5_empty_2,157,663.3578,1.0645835,0.11277309,1.0,0.0,54.0
exp5_empty_2,158,659.69696,1.8489127,0.2479151,1.0,0.0,27.0
