experiment,episode,return_total,reward_progress,reward_collision,reward_safety,reward_rotation
exp5_fixed_random_1,1,652.9037,653.13153,0.0,0.0,-0.22777802
exp5_fixed_random_1,2,579.2129,579.4738,0.0,-0.11510950326919556,-0.14578418
exp5_fixed_random_1,3,-147.0565,7.976067,-150.0,-4.960859298706055,-0.07171133
exp5_fixed_random_1,4,685.557,686.2046,0.0,0.0,-0.64750177
exp5_fixed_random_1,5,582.57495,582.6351,0.0,0.0,-0.060063593
exp5_fixed_random_1,6,28.662888,183.90338,-150.0,-4.99776554107666,-0.24275066
exp5_fixed_random_1,7,647.74524,647.8884,0.0,-0.04738445580005646,-0.09584957
exp5_fixed_random_1,8,557.6904,561.36865,0.0,-3.201078176498413,-0.4772076
exp5_fixed_random_1,9,518.6524,519.22656,0.0,-0.449360728263855,-0.124835774
exp5_fixed_random_1,10,627.36816,634.6865,0.0,-0.37423837184906006,-6.944014
exp5_fixed_random_1,11,-77.72521,75.10483,-150.0,-2.817331314086914,-0.012722703
exp5_fixed_random_1,12,618.68335,621.8171,0.0,0.0,-3.1337626
exp5_fixed_random_1,13,688.00525,688.1711,0.0,0.0,-0.16584423
exp5_fixed_random_1,14,-136.15312,64.19851,-150.0,-50.324012756347656,-0.027604394
exp5_fixed_random_1,15,169.40085,179.13068,0.0,-0.03003545105457306,-9.699771
exp5_fixed_random_1,16,615.8771,616.4465,0.0,-0.2786308526992798,-0.2907784
exp5_fixed_random_1,17,607.8929,608.03094,0.0,-0.03744277358055115,-0.100611724
exp5_fixed_random_1,18,631.151,631.3966,0.0,0.0,-0.2455718
exp5_fixed_random_1,19,637.83203,638.7767,0.0,0.0,-0.9446665
exp5_fixed_random_1,21,670.8036,671.34656,0.0,-0.3536410927772522,-0.18930258
exp5_fixed_random_1,22,723.51855,723.9726,0.0,-0.1236121654510498,-0.33036777
exp5_fixed_random_1,23,684.96875,685.18677,0.0,-0.019704535603523254,-0.19829874
exp5_fixed_random_1,24,257.97287,267.77734,0.0,0.0,-9.804424
exp5_fixed_random_1,25,60.199265,214.50279,-150.0,-4.181656837463379,-0.12188754
exp5_fixed_random_1,26,-19.44921,-11.821531,0.0,-7.3940348625183105,-0.23364641
exp5_fixed_random_1,27,-37.818233,-28.797901,0.0,-8.846951484680176,-0.17338422
exp5_fixed_random_1,28,604.49243,607.68274,0.0,-2.125718832015991,-1.064527
exp5_fixed_random_1,29,641.0483,641.9669,0.0,-0.00045011937618255615,-0.9181541
exp5_fixed_random_1,30,632.50073,633.5649,0.0,-0.5219610929489136,-0.5421958
exp5_fixed_random_1,31,701.0264,707.1022,0.0,-0.36285853385925293,-5.7129817
exp5_fixed_random_1,32,721.3839,722.48584,0.0,-0.6897430419921875,-0.4120792
exp5_fixed_random_1,33,619.578,619.8911,0.0,0.0,-0.31308562
exp5_fixed_random_1,34,618.56934,619.6963,0.0,-0.9830662608146667,-0.14388916
exp5_fixed_random_1,35,733.6401,734.64355,0.0,-0.374081015586853,-0.62941444
exp5_fixed_random_1,36,648.1273,648.57135,0.0,0.0,-0.44410303
exp5_fixed_random_1,37,736.4529,737.50604,0.0,-0.34516090154647827,-0.7081097
exp5_fixed_random_1,38,647.62854,648.03687,0.0,0.0,-0.4083234
exp5_fixed_random_1,39,687.10205,688.81775,0.0,-0.4956083297729492,-1.220153
exp5_fixed_random_1,41,552.5706,552.7059,0.0,0.0,-0.13522954
exp5_fixed_random_1,42,603.45166,605.7079,0.0,-0.6381157040596008,-1.6181086
exp5_fixed_random_1,43,734.1482,734.839,0.0,-0.2838873863220215,-0.40690964
exp5_fixed_random_1,44,636.06683,638.04224,0.0,-0.0011514723300933838,-1.9742234
exp5_fixed_random_1,45,623.70667,624.06775,0.0,-0.06612014770507812,-0.2949728
exp5_fixed_random_1,46,-78.213196,74.49342,-150.0,-2.683548927307129,-0.023066832
exp5_fixed_random_1,47,-168.8667,32.640903,-150.0,-51.46238708496094,-0.045217834
exp5_fixed_random_1,48,684.1903,684.99854,0.0,-0.3053898811340332,-0.5027886
exp5_fixed_random_1,49,677.32825,677.6216,0.0,0.0,-0.29324266
exp5_fixed_random_1,50,674.0087,675.8976,0.0,-1.5944418907165527,-0.29440218
exp5_fixed_random_1,51,670.9924,671.25757,0.0,-0.02449078857898712,-0.24071755
exp5_fixed_random_1,52,611.64703,614.8801,0.0,-0.20594210922718048,-3.0272074
exp5_fixed_random_1,53,-53.747467,146.66495,-150.0,-50.20510482788086,-0.20728162
exp5_fixed_random_1,54,603.1256,607.5879,0.0,-3.6396965980529785,-0.82255477
exp5_fixed_random_1,55,-31.401672,170.04265,-150.0,-51.34268569946289,-0.10162232
exp5_fixed_random_1,56,716.1687,716.36584,0.0,0.0,-0.19713013
exp5_fixed_random_1,57,34.47258,188.9047,-150.0,-4.195961952209473,-0.23616655
exp5_fixed_random_1,58,642.37976,643.2743,0.0,-0.02195785939693451,-0.8726064
exp5_fixed_random_1,59,583.471,584.7302,0.0,-0.07183837890625,-1.1874257
exp5_fixed_random_1,61,630.0735,632.7858,0.0,0.0,-2.712393
exp5_fixed_random_1,62,604.76,605.0779,0.0,0.0,-0.3178946
exp5_fixed_random_1,63,741.55554,741.9253,0.0,0.0,-0.3697542
exp5_fixed_random_1,64,609.42456,609.648,0.0,0.0,-0.22344245
exp5_fixed_random_1,65,49.520905,207.30707,-150.0,-7.356764793395996,-0.42940176
exp5_fixed_random_1,66,49.15866,250.52875,-150.0,-51.12210464477539,-0.24797596
exp5_fixed_random_1,67,658.70715,659.69934,0.0,-0.37897855043411255,-0.61323184
exp5_fixed_random_1,68,589.8113,591.83887,0.0,-0.9375568628311157,-1.0900456
exp5_fixed_random_1,69,698.138,699.4073,0.0,0.0,-1.2693142
exp5_fixed_random_1,70,-144.81853,9.402895,-150.0,-4.189474105834961,-0.031938948
