experiment,episode,return_total,reward_progress,reward_collision,reward_safety,reward_rotation
exp5_fixed_random,1,-140.50569,9.519401,-100.0,-49.91754150390625,-0.10755618
exp5_fixed_random,2,-85.61627,65.10075,-100.0,-49.87499999999999,-0.8420232
exp5_fixed_random,3,-146.72551,3.6945593,-100.0,-49.87499999999999,-0.54506147
exp5_fixed_random,4,-86.828415,64.05606,-100.0,-49.90915298461914,-0.97531796
exp5_fixed_random,5,-150.29364,0.422544,-100.0,-49.87499999999999,-0.8411928
exp5_fixed_random,6,-71.893875,52.101784,-100.0,-22.571533203125,-1.4241334
exp5_fixed_random,7,-102.25986,48.181538,-100.0,-49.87499999999999,-0.5663891
exp5_fixed_random,8,-138.01157,11.940727,-100.0,-49.87499999999999,-0.077296995
exp5_fixed_random,9,-43.11967,63.860847,-100.0,-6.433533191680908,-0.54699254
exp5_fixed_random,10,-139.93845,10.647835,-100.0,-50.1739501953125,-0.41233307
exp5_fixed_random,11,-88.76875,16.214476,-100.0,-4.690418243408203,-0.29280758
exp5_fixed_random,12,-61.913445,91.31788,-100.0,-52.018070220947266,-1.2132542
exp5_fixed_random,13,-114.06062,36.585003,-100.0,-49.87499999999999,-0.7706241
exp5_fixed_random,14,-125.83842,25.104725,-100.0,-50.47447967529297,-0.46866903
exp5_fixed_random,15,9.104301,119.50355,-100.0,-8.478790283203125,-1.920461
exp5_fixed_random,16,-122.11995,28.248615,-100.0,-49.96525192260742,-0.40331668
exp5_fixed_random,17,-45.646004,58.056316,-100.0,-2.5232744216918945,-1.1790582
exp5_fixed_random,18,-134.47632,15.657162,-100.0,-49.87499999999999,-0.25847834
exp5_fixed_random,19,-161.76187,-11.251706,-100.0,-49.87499999999999,-0.6351732
exp5_fixed_random,21,-123.83434,27.513557,-100.0,-50.81590270996094,-0.5319936
exp5_fixed_random,22,-14.057556,137.59392,-100.0,-50.06272888183594,-1.5887545
exp5_fixed_random,23,-85.26598,17.74714,-100.0,-2.939459800720215,-0.0736646
exp5_fixed_random,24,-77.29853,26.997736,-100.0,-3.5760366916656494,-0.7202306
exp5_fixed_random,25,-100.016594,50.621277,-100.0,-50.225318908691406,-0.41255566
exp5_fixed_random,26,542.0309,561.53613,0.0,-1.06334388256073,-18.441813
exp5_fixed_random,27,-137.27234,15.509573,-100.0,-52.26020812988281,-0.5216963
exp5_fixed_random,28,-55.039955,74.92082,-100.0,-29.75858497619629,-0.20219645
exp5_fixed_random,29,-107.39387,7.5109224,-100.0,-14.69090461730957,-0.21388812
exp5_fixed_random,30,-157.34473,-6.3679194,-100.0,-49.87499999999999,-1.1018089
exp5_fixed_random,31,-94.22432,32.277695,-100.0,-25.86815643310547,-0.6338556
exp5_fixed_random,32,-135.24542,14.932735,-100.0,-50.03097152709961,-0.14717804
exp5_fixed_random,33,-8.339035,96.85672,-100.0,-3.7084200382232666,-1.4873451
exp5_fixed_random,34,-98.30705,54.40434,-100.0,-50.235145568847656,-2.4762418
exp5_fixed_random,35,-84.90918,65.868034,-100.0,-49.87499999999999,-0.90221304
exp5_fixed_random,36,-90.256355,14.88742,-100.0,-4.533663749694824,-0.6101115
exp5_fixed_random,37,-126.44418,24.061625,-100.0,-50.094173431396484,-0.41164082
exp5_fixed_random,38,-90.42476,11.831015,-100.0,-2.252474784851074,-0.0032923387
exp5_fixed_random,39,-93.94198,8.203085,-100.0,-1.962421178817749,-0.18264887
exp5_fixed_random,41,-122.03152,28.141115,-100.0,-49.87499999999999,-0.29762277
exp5_fixed_random,42,-137.84486,12.046288,-100.0,-49.87499999999999,-0.016160259
exp5_fixed_random,43,-87.26043,65.5552,-100.0,-51.793949127197266,-1.0216771
exp5_fixed_random,44,-142.22095,8.504572,-100.0,-49.89701843261719,-0.82850236
exp5_fixed_random,45,-166.96748,-12.673629,-100.0,-52.84748840332031,-1.446361
exp5_fixed_random,46,-127.44827,23.500694,-100.0,-49.87499999999999,-1.0739657
exp5_fixed_random,47,19.75354,172.9766,-100.0,-50.01731872558594,-3.205777
exp5_fixed_random,48,-95.71678,9.67322,-100.0,-5.1357316970825195,-0.25426474
exp5_fixed_random,49,-137.80579,12.280252,-100.0,-49.961708068847656,-0.12432422
exp5_fixed_random,50,-119.216354,31.515852,-100.0,-50.12894821166992,-0.6032508
exp5_fixed_random,51,-121.621376,28.456478,-100.0,-49.87499999999999,-0.20285681
exp5_fixed_random,52,-127.808,24.699532,-100.0,-49.93796920776367,-2.5695515
exp5_fixed_random,53,-97.46958,54.47479,-100.0,-49.87499999999999,-2.0693877
exp5_fixed_random,54,-100.25075,50.31246,-100.0,-50.11933135986328,-0.44387665
exp5_fixed_random,55,-136.49161,13.522076,-100.0,-49.87499999999999,-0.13869022
exp5_fixed_random,56,-67.4509,83.045425,-100.0,-49.91989517211914,-0.5764381
exp5_fixed_random,57,-123.45584,-18.599087,-100.0,-3.5396335124969482,-1.3171183
exp5_fixed_random,58,-60.559,90.34873,-100.0,-49.87499999999999,-1.0327334
exp5_fixed_random,59,-130.49762,19.852423,-100.0,-50.0183219909668,-0.3317184
exp5_fixed_random,61,-83.86764,19.128393,-100.0,-2.8523049354553223,-0.14372592
exp5_fixed_random,62,-138.49336,11.581877,-100.0,-49.975372314453125,-0.09988077
exp5_fixed_random,63,-120.691795,30.042664,-100.0,-50.01653289794922,-0.7179266
exp5_fixed_random,64,16.694107,132.54634,-100.0,-12.342567443847656,-3.5096776
exp5_fixed_random,65,-126.632324,23.474329,-100.0,-49.97026062011719,-0.1363877
exp5_fixed_random,66,-89.84173,15.742978,-100.0,-4.771968364715576,-0.8127372
exp5_fixed_random,67,-61.322563,45.383064,-100.0,-5.4881391525268555,-1.2174824
exp5_fixed_random,68,-116.862366,35.196445,-100.0,-51.36346435546875,-0.6953504
exp5_fixed_random,69,-40.03228,112.60508,-100.0,-51.81910705566406,-0.8182559
exp5_fixed_random,70,-103.019516,47.712692,-100.0,-49.912818908691406,-0.8194054
exp5_fixed_random,71,-120.06553,30.817467,-100.0,-50.300601959228516,-0.5823882
exp5_fixed_random,72,-126.94988,23.085789,-100.0,-49.87499999999999,-0.16066478
exp5_fixed_random,73,-1.5504684,110.66918,-100.0,-10.898305892944336,-1.3213257
