experiment,episode,return_total,mean_v,mean_abs_omega,success_rate,collision_rate,mean_time_travel
exp5_fixed_random,1,-140.50569,2.192110061645508,0.36980435252189636,0.0,1.0,2.0
exp5_fixed_random,2,-85.61627,2.3426551818847656,0.7032602429389954,0.0,1.0,7.0
exp5_fixed_random,3,-146.72551,3.338031768798828,0.7928130626678467,0.0,1.0,4.0
exp5_fixed_random,4,-86.828415,2.1161229610443115,0.5300496220588684,0.0,1.0,13.0
exp5_fixed_random,5,-150.29364,2.7543933391571045,0.9131321907043457,0.0,1.0,5.0
exp5_fixed_random,6,-71.893875,2.740422487258911,0.7269659638404846,0.0,1.0,12.0
exp5_fixed_random,7,-102.25986,2.9592630863189697,0.5641075372695923,0.0,1.0,6.0
exp5_fixed_random,8,-138.01157,4.313989639282227,0.6216791272163391,0.0,1.0,1.0
exp5_fixed_random,9,-43.11967,3.3308486938476562,0.7669687867164612,0.0,1.0,4.0
exp5_fixed_random,10,-139.93845,2.3306076526641846,0.8010433316230774,0.0,1.0,3.0
exp5_fixed_random,11,-88.76875,1.5349349975585938,0.5013036727905273,0.0,1.0,5.0
exp5_fixed_random,12,-61.913445,2.260876417160034,0.6626777052879333,0.0,1.0,11.0
exp5_fixed_random,13,-114.06062,3.8140270709991455,0.7442951202392578,0.0,1.0,6.0
exp5_fixed_random,14,-125.83842,1.617148995399475,0.5282620191574097,0.0,1.0,6.0
exp5_fixed_random,15,9.104301,2.809152364730835,0.6896426677703857,0.0,1.0,16.0
exp5_fixed_random,16,-122.11995,2.826188564300537,0.5387058258056641,0.0,1.0,5.0
exp5_fixed_random,17,-45.646004,1.8487067222595215,0.6093010306358337,0.0,1.0,13.0
exp5_fixed_random,18,-134.47632,2.9006214141845703,0.5860425233840942,0.0,1.0,3.0
exp5_fixed_random,19,-161.76187,3.8738465309143066,0.7400935292243958,0.0,1.0,5.0
exp5_fixed_random,21,-123.83434,2.4185612201690674,0.5407742261886597,0.0,1.0,6.0
exp5_fixed_random,22,-14.057556,2.321722984313965,0.5657389760017395,0.0,1.0,19.0
exp5_fixed_random,23,-85.26598,1.6237950325012207,0.31967994570732117,0.0,1.0,3.0
exp5_fixed_random,24,-77.29853,1.9956468343734741,0.7180978655815125,0.0,1.0,6.0
exp5_fixed_random,25,-100.016594,2.755600929260254,0.5264992713928223,0.0,1.0,6.0
exp5_fixed_random,26,542.0309,2.5202717781066895,0.6022254824638367,0.0,0.0,200.0
exp5_fixed_random,27,-137.27234,1.7833610773086548,0.5837326645851135,0.0,1.0,6.0
exp5_fixed_random,28,-55.039955,4.38028621673584,0.45283257961273193,0.0,1.0,4.0
exp5_fixed_random,29,-107.39387,3.557213068008423,1.0341376066207886,0.0,1.0,1.0
exp5_fixed_random,30,-157.34473,2.6543686389923096,0.6912752389907837,0.0,1.0,10.0
exp5_fixed_random,31,-94.22432,2.7671520709991455,0.6226139664649963,0.0,1.0,7.0
exp5_fixed_random,32,-135.24542,3.181091547012329,0.37495991587638855,0.0,1.0,3.0
exp5_fixed_random,33,-8.339035,2.167546033859253,0.6312752962112427,0.0,1.0,14.0
exp5_fixed_random,34,-98.30705,1.841507077217102,0.5866600275039673,0.0,1.0,29.0
exp5_fixed_random,35,-84.90918,1.6171482801437378,0.6465864181518555,0.0,1.0,9.0
exp5_fixed_random,36,-90.256355,2.733628034591675,0.8495001792907715,0.0,1.0,4.0
exp5_fixed_random,37,-126.44418,3.2921645641326904,0.8220484256744385,0.0,1.0,3.0
exp5_fixed_random,38,-90.42476,1.9402968883514404,0.06920897215604782,0.0,1.0,2.0
exp5_fixed_random,39,-93.94198,3.0741236209869385,0.9556381702423096,0.0,1.0,1.0
exp5_fixed_random,41,-122.03152,2.6593451499938965,0.5369694232940674,0.0,1.0,4.0
exp5_fixed_random,42,-137.84486,4.493023872375488,0.2842556834220886,0.0,1.0,1.0
exp5_fixed_random,43,-87.26043,2.604950428009033,0.43024131655693054,0.0,1.0,17.0
exp5_fixed_random,44,-142.22095,2.6669716835021973,0.6192117929458618,0.0,1.0,8.0
exp5_fixed_random,45,-166.96748,2.144883632659912,0.5270141959190369,0.0,1.0,19.0
exp5_fixed_random,46,-127.44827,2.3496100902557373,0.5863367915153503,0.0,1.0,12.0
exp5_fixed_random,47,19.75354,1.9725844860076904,0.5468835830688477,0.0,1.0,42.0
exp5_fixed_random,48,-95.71678,1.1466783285140991,0.49703994393348694,0.0,1.0,4.0
exp5_fixed_random,49,-137.80579,3.553844928741455,0.5564980506896973,0.0,1.0,2.0
exp5_fixed_random,50,-119.216354,2.9375059604644775,0.5810943841934204,0.0,1.0,7.0
exp5_fixed_random,51,-121.621376,2.085888147354126,0.5480586290359497,0.0,1.0,3.0
exp5_fixed_random,52,-127.808,1.8355226516723633,0.6869844198226929,0.0,1.0,23.0
exp5_fixed_random,53,-97.46958,2.100081443786621,0.628700315952301,0.0,1.0,21.0
