experiment,episode,return_total,reward_progress,reward_collision,reward_safety,reward_rotation
exp6_random_1,1,-26.90683,75.57663,-100.0,-1.9652312994003296,-0.51823723
exp6_random_1,2,531.9717,533.70667,0.0,0.0,-1.7349547
exp6_random_1,3,440.55978,449.59015,0.0,-4.584198474884033,-4.4461484
exp6_random_1,4,-105.418365,-0.6734512,-100.0,-3.857938766479492,-0.8869733
exp6_random_1,5,603.08545,604.46246,0.0,0.0,-1.3770291
exp6_random_1,6,467.5334,471.11865,0.0,-2.0507192611694336,-1.5345329
exp6_random_1,7,416.24646,416.4819,0.0,0.0,-0.23544571
exp6_random_1,8,475.9523,476.9783,0.0,0.0,-1.0260054
exp6_random_1,9,447.6188,448.5688,0.0,0.0,-0.9499759
exp6_random_1,10,426.07135,426.6178,0.0,0.0,-0.54642904
exp6_random_1,11,500.4019,500.602,0.0,0.0,-0.20007068
exp6_random_1,12,468.19696,469.9315,0.0,0.0,-1.7345519
exp6_random_1,13,471.7276,472.3421,0.0,0.0,-0.6145018
exp6_random_1,14,510.0166,510.64142,0.0,0.0,-0.62484103
exp6_random_1,15,-106.940865,53.054344,-100.0,-53.94270706176758,-6.052497
exp6_random_1,16,455.93387,456.63953,0.0,0.0,-0.7056613
exp6_random_1,17,475.03015,478.04758,0.0,-0.03198421001434326,-2.9854121
exp6_random_1,18,523.20514,526.10297,0.0,-0.49990665912628174,-2.397879
exp6_random_1,19,-22.391212,84.28689,-100.0,-4.391016960144043,-2.2870836
exp6_random_1,21,448.94904,452.70123,0.0,0.0,-3.7522078
exp6_random_1,22,433.45016,435.2981,0.0,0.0,-1.8479162
exp6_random_1,23,-5.832115,99.785835,-100.0,-3.118356943130493,-2.499591
exp6_random_1,24,-92.724915,17.999382,-100.0,-6.3155975341796875,-4.408691
exp6_random_1,25,602.7666,607.59033,0.0,-1.4103211164474487,-3.4134443
exp6_random_1,26,-91.729065,24.884235,-100.0,-10.424009323120117,-6.1893215
exp6_random_1,27,-31.129944,79.32079,-100.0,-7.421146392822266,-3.029631
exp6_random_1,28,339.7911,363.3794,0.0,-16.056737899780273,-7.531542
exp6_random_1,29,447.384,447.86926,0.0,0.0,-0.48527104
exp6_random_1,30,390.70883,394.27383,0.0,0.0,-3.5649922
exp6_random_1,31,433.95087,434.16568,0.0,0.0,-0.21479835
exp6_random_1,32,437.11832,437.4728,0.0,0.0,-0.3545019
exp6_random_1,33,477.8315,479.9845,0.0,0.0,-2.1529706
exp6_random_1,34,657.41876,658.0155,0.0,0.0,-0.59678066
exp6_random_1,35,442.66144,443.4871,0.0,0.0,-0.8256448
exp6_random_1,36,472.58813,474.7765,0.0,0.0,-2.1883686
exp6_random_1,37,489.94055,496.64587,0.0,-2.5840775966644287,-4.1212897
exp6_random_1,38,-96.54194,12.061222,-100.0,-6.287375450134277,-2.3157883
exp6_random_1,39,414.0387,429.1098,0.0,-4.786165237426758,-10.284926
exp6_random_1,41,408.73978,410.71484,0.0,0.0,-1.9750679
exp6_random_1,42,-154.83401,-1.0914725,-100.0,-50.13067626953125,-3.6118567
exp6_random_1,43,-83.64524,30.77288,-100.0,-7.288699150085449,-7.1294103
exp6_random_1,44,420.89175,421.5869,0.0,0.0,-0.69515425
exp6_random_1,45,-82.47187,20.483158,-100.0,-2.334256887435913,-0.62076384
exp6_random_1,46,-83.96742,24.471087,-100.0,-7.629581928253174,-0.80892634
exp6_random_1,47,-72.87356,78.97193,-100.0,-50.3182258605957,-1.5272655
exp6_random_1,48,478.94373,479.92416,0.0,0.0,-0.9804345
exp6_random_1,49,-86.314766,24.747578,-100.0,-10.535117149353027,-0.52721643
exp6_random_1,50,618.0836,623.11694,0.0,-0.4437588155269623,-4.5895767
exp6_random_1,51,415.09415,415.8421,0.0,0.0,-0.7479708
exp6_random_1,52,-121.95488,29.826777,-100.0,-51.259490966796875,-0.52216226
exp6_random_1,53,-86.81173,18.046518,-100.0,-4.361249923706055,-0.49699536
exp6_random_1,54,439.1113,441.59634,0.0,0.0,-2.4850543
exp6_random_1,55,680.4242,684.1135,0.0,-0.03878064453601837,-3.6505277
exp6_random_1,56,717.9646,725.2623,0.0,-0.6767709255218506,-6.6208644
exp6_random_1,57,499.85358,503.11682,0.0,-0.7718281745910645,-2.4913871
exp6_random_1,58,697.53723,702.5813,0.0,-0.5443236231803894,-4.499617
