experiment,episode,return_total,mean_v,mean_abs_omega,success_rate,collision_rate,mean_time_travel
exp7_fixed_random_1,1,15.5868225,3.7587187,0.5639432,0.0,1.0,8.0
exp7_fixed_random_1,2,660.0359,1.7911633,0.6067827,1.0,0.0,24.0
exp7_fixed_random_1,3,-52.876694,4.115989,0.75174063,0.0,1.0,6.0
exp7_fixed_random_1,4,173.69882,1.8854887,0.6452296,0.0,1.0,31.0
exp7_fixed_random_1,5,731.75305,1.8897276,0.7791775,1.0,0.0,34.0
exp7_fixed_random_1,6,-107.43912,2.268251,0.5183258,0.0,1.0,4.0
exp7_fixed_random_1,7,237.83571,1.8602471,0.77444696,0.0,1.0,34.0
exp7_fixed_random_1,8,752.27026,1.6816885,0.6208541,1.0,0.0,36.0
exp7_fixed_random_1,9,-42.18029,2.2339222,0.7767323,0.0,1.0,5.0
exp7_fixed_random_1,10,849.0577,1.5394852,0.71175873,1.0,0.0,51.0
exp7_fixed_random_1,11,717.5835,2.0714738,0.6209366,1.0,0.0,33.0
exp7_fixed_random_1,12,7.9447327,3.391161,0.723365,0.0,1.0,6.0
exp7_fixed_random_1,13,-127.71206,3.529552,0.44690713,0.0,1.0,2.0
exp7_fixed_random_1,14,-87.97737,4.561776,0.5921019,0.0,1.0,1.0
exp7_fixed_random_1,15,13.20208,3.332454,0.569059,0.0,1.0,7.0
exp7_fixed_random_1,16,3.8622513,3.5135708,0.39095291,0.0,1.0,6.0
exp7_fixed_random_1,17,573.6758,1.9938676,0.4450207,1.0,0.0,14.0
exp7_fixed_random_1,18,-6.5444946,3.7599308,0.5510153,0.0,1.0,7.0
exp7_fixed_random_1,19,737.05664,2.7906554,0.609994,1.0,0.0,20.0
exp7_fixed_random_1,21,447.3729,0.8476051,0.94409823,0.0,0.0,100.0
exp7_fixed_random_1,22,-60.5996,4.7106714,0.6057174,0.0,1.0,2.0
exp7_fixed_random_1,23,718.14526,1.9534218,0.6036926,1.0,0.0,29.0
exp7_fixed_random_1,24,22.501137,3.418489,0.5620636,0.0,1.0,7.0
exp7_fixed_random_1,25,402.3739,0.91844374,0.88509417,0.0,0.0,100.0
