experiment,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state
exp7_fixed_random_3,20,544,agent_1,12.095676,7.355381,46.908752956546266,-0.8299365043640137,2.4079220294952393,3.1527257,0.8436789,16.078081,16.22044,-0.14235882,0.0,0.0,active
exp7_fixed_random_3,20,545,agent_1,11.941125,8.300258,47.05983296655845,-1.7393087148666382,2.55887508392334,0.95743275,0.8892493,0.0013125539,16.379906,-0.30051172,0.0,0.0,active
exp7_fixed_random_3,20,546,agent_1,12.104733,10.382483,46.95574774392412,-1.5431444644927979,2.95344877243042,2.0886424,-0.2405446,3.6861384,20.077616,-0.31208405,0.0,0.0,active
exp7_fixed_random_3,20,547,agent_1,12.388675,12.338817,46.812829146760265,-1.5194807052612305,3.301417589187622,1.9768326,-0.06572054,3.6673944,23.745874,-0.3129479,0.0,0.0,active
exp7_fixed_random_3,20,548,agent_1,12.713373,13.784479,46.64667213124793,-1.474186897277832,1.976902723312378,1.4816784,-0.07680247,2.1224582,25.87539,-0.31412762,-0.005875915288925171,0.0,active
exp7_fixed_random_3,20,549,agent_1,12.653325,13.841556,46.713360485341795,-2.5069453716278076,1.982064962387085,0.0828464,1.0317055,-1.1184236,24.974394,-0.5270109,-0.01042070984840393,0.0,active
exp7_fixed_random_3,20,550,agent_1,11.225554,15.293797,48.32801582947804,-2.499199628829956,2.7809317111968994,2.036549,-0.033868175,-5.0004077,19.974216,-0.52724034,-0.01042070984840393,0.0,active
exp7_fixed_random_3,20,551,agent_1,10.460227,17.753933,49.510087555106324,-2.0707039833068848,3.7299070358276367,2.5764306,-0.47530028,-1.8026794,18.216719,-0.5724224,-0.01042070984840393,0.0,active
exp7_fixed_random_3,20,552,agent_1,10.65088,19.925335,49.798102689983736,-1.7250429391860962,4.652537822723389,2.1797557,-0.3891784,1.8891438,20.136154,-0.60271436,-0.01042070984840393,0.0,active
exp7_fixed_random_3,20,553,agent_1,11.46571,21.789864,49.494131908351655,-1.4411444664001465,2.983027935028076,2.0348003,-0.32442775,4.568404,24.725609,-0.62376505,-0.01042070984840393,0.0,active
exp7_fixed_random_3,20,554,agent_1,11.170155,22.980982,50.12109266771232,-2.117551565170288,2.870051860809326,1.2272394,0.65522474,-1.766189,23.045284,-0.70962894,-0.01042070984840393,0.0,active
exp7_fixed_random_3,20,555,agent_1,11.468256,25.435146,50.62855928826817,-1.80149245262146,2.6726913452148438,2.472203,-0.36409545,1.3805599,24.452358,-0.73614204,-0.01042070984840393,0.0,active
exp7_fixed_random_3,20,556,agent_1,12.020685,27.682226,50.935705029986735,-1.7264732122421265,3.3177738189697266,2.3139892,-0.120187156,2.0893607,26.544607,-0.739031,-0.01042070984840393,0.0,active
exp7_fixed_random_3,20,557,agent_1,15.621288,29.50687,48.41753915257147,-0.9293179512023926,1.4931297302246094,4.036541,-0.8606923,9.244546,36.135857,-0.88718927,-0.20896455645561218,0.0,active
exp7_fixed_random_3,20,558,agent_1,18.921011,27.637497,44.63134154350915,0.059850092977285385,2.944293737411499,3.7924566,-0.9844829,25.32206,61.651756,-1.0810306,-0.20896455645561218,0.0,active
exp7_fixed_random_3,20,559,agent_1,23.751032,27.113356,40.09750762236052,-0.38877052068710327,3.8866443634033203,4.8583775,0.40734708,31.35274,93.03768,-1.1142169,-0.20896455645561218,0.0,active
exp7_fixed_random_3,20,560,agent_1,28.385994,26.563055,35.802295713119214,-0.42690667510032654,3.2354023456573486,4.667515,-0.010080486,29.811068,122.84877,-1.1142372,-0.20896455645561218,0.0,active
exp7_fixed_random_3,20,561,agent_1,32.86067,26.946165,32.2834607700905,-0.7125955820083618,1.9726109504699707,4.491043,0.20358391,11.4856415,134.34969,-1.1225265,-0.21595507860183716,0.0,active
exp7_fixed_random_3,20,562,agent_1,37.391026,26.398508,28.380501692990308,-0.585020899772644,4.601491928100586,4.5633388,-0.20571125,27.633009,161.99115,-1.1309899,-0.21595507860183716,0.0,active
exp7_fixed_random_3,20,563,agent_1,39.861435,28.802233,28.266898658221102,-1.5987448692321777,2.1977672576904297,3.446857,0.8920197,6.3025894,168.45288,-1.2901298,-0.21595507860183716,0.0,active
exp7_fixed_random_3,20,564,agent_1,43.353806,28.136576,25.500687870985224,-0.7218914031982422,2.863424301147461,3.5552435,-0.9600617,19.757196,188.39442,-1.4744735,-0.21595507860183716,0.0,active
exp7_fixed_random_3,20,565,agent_1,47.695004,27.958435,22.937787069328106,-1.0144166946411133,2.95843505859375,4.34485,0.14733224,20.499863,208.89862,-1.4788148,-0.21595507860183716,0.0,active
exp7_fixed_random_3,20,566,agent_1,52.47837,27.919106,20.9595423201518,-1.2461681365966797,3.0808944702148438,4.78353,0.03279002,18.458069,227.3569,-1.4790299,-0.21595507860183716,0.0,active
exp7_fixed_random_3,20,567,agent_1,56.64103,25.55653,17.71430179511118,-0.9210041761398315,5.443470001220703,4.7863865,-0.50800586,24.747362,252.15588,-1.5306439,-0.21595507860183716,0.0,active
exp7_fixed_random_3,20,568,agent_1,56.78097,22.145859,14.318847982743712,0.11459147930145264,6.219028472900391,3.4135418,-1.0135603,22.59889,274.96024,-1.7361048,-0.21595507860183716,0.0,active
exp7_fixed_random_3,20,569,agent_1,55.203217,18.894478,11.537123213523769,0.7871259450912476,6.143484854214251,3.61397,-0.4927915,20.087996,295.0968,-1.7846736,-0.21595507860183716,0.0,active
exp7_fixed_random_3,20,570,agent_1,56.66257,15.365968,7.727939922784481,-0.08488917350769043,4.824995939696495,3.8183904,0.8439499,25.540247,320.7795,-1.9271239,-0.21595507860183716,0.0,active
exp7_fixed_random_3,20,571,agent_1,55.83751,14.141955,6.908325714651704,1.0686028003692627,3.0038155048443764,1.476122,-0.9852733,5.856162,326.82983,-2.1212766,-0.21595507860183716,0.0,active
exp7_fixed_random_3,20,572,agent_1,56.948254,11.1537075,3.762384108883712,0.2209063172340393,3.0379348345042123,3.188006,0.9489849,20.925606,347.93555,-2.3013911,-0.21595507860183716,0.0,active
exp7_fixed_random_3,20,573,agent_1,56.329147,10.278154,3.5104759343241505,1.480057716369629,1.438439754254187,1.0723271,-0.9713547,0.97455657,349.33212,-2.490097,-0.44925493001937866,0.0,active
exp7_fixed_random_3,20,574,agent_1,56.86748,8.42037,2.173556376032673,1.094120979309082,1.4459592730855246,1.9342089,0.8975234,3.8159416,353.53748,-2.6512067,-0.6775411367416382,0.0,active
