experiment,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state
exp7_random_2,20,645,agent_1,45.070915,25.17133,12.248048468978013,0.4155067801475525,5.828670501708984,2.1191735,-1.0410132,12.844715,13.061457,-0.21674171,0.0,0.0,active
exp7_random_2,20,646,agent_1,46.411797,24.362192,10.68806470609249,-0.09464788436889648,4.490546226501465,1.5660989,0.4980702,9.882502,22.993572,-0.2663565,0.0,0.0,active
exp7_random_2,20,647,agent_1,46.671112,23.187368,9.812194716376435,0.7965258359909058,3.6842079162597656,1.2031024,-0.8106104,5.654137,28.779127,-0.39777434,0.0,0.0,active
exp7_random_2,20,648,agent_1,46.47728,21.89956,9.372477654020912,1.2910735607147217,3.542515277862549,1.3023127,-0.36663404,3.7763267,32.582336,-0.42465845,0.0,0.0,active
exp7_random_2,20,649,agent_1,46.797977,21.500893,8.917927069811919,0.48994049429893494,3.2020227909088135,0.51164937,0.82682484,2.1593237,34.878387,-0.56138635,0.0,0.0,active
exp7_random_2,20,650,agent_1,47.449055,21.087225,8.157679364081403,0.17789778113365173,2.550945281982422,0.7713777,0.32735008,4.3225627,39.22238,-0.582818,0.0,0.0,active
exp7_random_2,20,651,agent_1,47.531986,20.238663,7.796335058438651,1.1821317672729492,2.479497194290161,0.8526045,-0.90736204,2.3472693,41.734314,-0.74747914,0.0,0.0,active
exp7_random_2,20,652,agent_1,47.020176,18.274067,7.984529091080181,1.7913166284561157,2.13637375831604,2.030169,-0.3522735,2.0945485,43.853683,-0.77229846,0.0,0.0,active
exp7_random_2,20,653,agent_1,47.472347,17.827915,7.529619443404721,0.8015530109405518,2.4903807640075684,0.63522565,1.0469514,2.3257782,46.39868,-0.9915199,0.0,0.0,active
exp7_random_2,20,654,agent_1,48.71544,18.017826,6.2845864389043555,-0.1544368416070938,2.5570976734161377,1.2575136,0.930297,7.567102,54.138874,-1.1646104,0.0,0.0,active
exp7_random_2,20,655,agent_1,49.400608,17.188374,5.657908406461079,1.0243182182312012,2.9893455505371094,1.0758473,-1.031972,4.0720916,58.423958,-1.3776037,0.0,0.0,active
exp7_random_2,20,656,agent_1,51.60869,16.95841,3.5476617450163523,0.40176135301589966,3.0415897369384766,2.2200212,0.7765999,13.870654,72.41524,-1.4982251,0.0,0.0,active
exp7_random_2,20,657,agent_1,52.639633,15.375992,3.5294121965256657,1.831609845161438,4.6240081787109375,1.8886232,-0.88959557,2.7102182,75.28373,-1.6565012,0.0,0.0,active
exp7_random_2,20,658,agent_1,53.65929,15.380197,2.9429360284669652,1.0936617851257324,4.622280597686768,1.0196661,0.997491,3.7727153,79.25544,-1.8554988,0.0,0.0,active
exp7_random_2,20,659,agent_1,54.419888,15.953545,2.127089584132939,0.6486337780952454,4.138582706451416,0.9524889,0.64181376,4.901825,84.23965,-1.9378837,0.0,0.0,active
exp7_random_2,20,660,agent_1,55.07518,16.26275,1.7388753346037216,1.1731610298156738,4.020561218261719,0.7245785,-0.20505367,2.3818188,86.629875,-1.9462931,0.0,0.0,active
exp7_random_2,20,661,agent_1,55.433277,16.969296,1.118070138358226,0.8670362234115601,3.5253491401672363,0.7921094,0.66081876,3.6009085,90.31812,-2.0336294,0.0,0.0,active
exp7_random_2,20,662,agent_1,55.453217,17.115673,0.9936998396451298,0.6089861392974854,3.4075214862823486,0.14772987,0.3337045,-0.10496049,90.235435,-2.055901,0.0,0.0,active
exp7_random_2,20,663,agent_1,55.36418,17.248396,0.8351867287202185,-0.13968658447265625,3.248079776763916,0.15982032,0.72627854,0.0067100823,90.34764,-2.1613972,0.0,0.0,active
exp7_random_2,20,664,agent_1,55.153973,17.337286,0.680365652614362,-0.9424538016319275,3.069087505340576,0.22823215,0.579851,0.16332424,90.57821,-2.2286427,0.0,0.0,active
exp7_random_2,20,665,agent_1,54.189957,17.316778,1.0596991345481528,-2.462190628051758,2.7571370601654053,0.96423244,0.42132682,-1.0037059,89.61001,-2.2641459,0.0,0.0,active
exp7_random_2,20,666,agent_1,54.147575,17.279757,1.1159652183108477,3.1251461505889893,2.784710168838501,0.05627513,0.6967219,-1.2658645,88.44123,-2.3612301,0.0,0.0,active
exp7_random_2,20,667,agent_1,54.15077,17.254076,1.1303084189595145,2.167771100997925,2.810516834259033,0.025878191,0.97655386,-1.2106911,87.42127,-2.5519617,0.0,0.0,active
