experiment,episode,return_total,mean_v,mean_abs_omega,success_rate,collision_rate,mean_time_travel
exp7_random_2,1,1141.7416,1.9537936,0.66222805,1.0,0.0,33.0
exp7_random_2,2,-40.868225,2.8004825,0.91310275,0.0,1.0,5.0
exp7_random_2,3,1064.018,1.656398,0.7929024,1.0,0.0,31.0
exp7_random_2,4,-99.62035,3.5200875,1.0468919,0.0,1.0,1.0
exp7_random_2,5,1154.3992,1.1636014,0.7138974,1.0,0.0,97.0
exp7_random_2,6,1061.9565,1.5998394,0.5955009,1.0,0.0,29.0
exp7_random_2,7,1089.0425,1.5179932,0.55883026,1.0,0.0,34.0
exp7_random_2,8,-73.90112,1.2381023,0.6175779,0.0,1.0,6.0
exp7_random_2,9,-36.317184,1.6265198,0.5349554,0.0,1.0,10.0
exp7_random_2,10,1033.2712,1.2598302,0.58431554,1.0,0.0,39.0
exp7_random_2,11,1080.4261,1.2223017,0.6545554,1.0,0.0,61.0
exp7_random_2,12,1144.7153,1.1713519,0.61793417,1.0,0.0,75.0
exp7_random_2,13,397.167,1.5082542,0.6497276,0.0,1.0,23.0
exp7_random_2,14,-105.09191,1.4737484,0.94654185,0.0,1.0,4.0
exp7_random_2,15,1120.1796,1.3745424,0.7494202,1.0,0.0,52.0
exp7_random_2,16,463.5171,1.6413759,0.5298871,0.0,1.0,19.0
exp7_random_2,17,135.2125,2.165996,0.41538534,0.0,1.0,20.0
exp7_random_2,18,1362.7821,1.982774,0.6058844,1.0,0.0,56.0
exp7_random_2,19,1049.6763,1.2052311,0.7116905,1.0,0.0,49.0
exp7_random_2,21,-143.81447,0.9951401,0.93675673,0.0,1.0,4.0
exp7_random_2,22,-38.800003,1.4221642,0.26953375,0.0,1.0,13.0
exp7_random_2,23,-63.587074,1.6717647,0.64023525,0.0,1.0,11.0
exp7_random_2,24,1015.7088,1.2318022,0.51264393,1.0,0.0,39.0
exp7_random_2,25,842.5426,0.44354063,0.6555182,1.0,0.0,121.0
exp7_random_2,26,140.65752,0.7620105,0.8372784,0.0,0.0,200.0
exp7_random_2,27,933.9348,1.1742954,0.7467942,1.0,0.0,32.0
exp7_random_2,28,1029.5465,1.5049969,0.6540194,1.0,0.0,32.0
exp7_random_2,29,1066.5956,1.0090419,0.55120105,1.0,0.0,51.0
exp7_random_2,30,-132.46849,3.4087152,0.5249368,0.0,1.0,2.0
exp7_random_2,31,1006.0464,1.1338392,0.6393111,1.0,0.0,36.0
exp7_random_2,32,487.58603,1.7532891,0.75389916,0.0,1.0,30.0
exp7_random_2,33,912.02783,1.0671245,0.6120003,1.0,0.0,28.0
exp7_random_2,34,18.344048,2.9602456,0.6980866,0.0,1.0,9.0
exp7_random_2,35,-25.33799,1.8070273,0.50116926,0.0,1.0,13.0
exp7_random_2,36,-41.593025,0.8419436,0.6863117,0.0,1.0,18.0
exp7_random_2,37,994.73816,1.1165704,0.75237083,1.0,0.0,58.0
exp7_random_2,38,1129.5529,1.711803,0.6658151,1.0,0.0,36.0
exp7_random_2,39,-125.90355,1.027355,0.46420333,0.0,1.0,7.0
exp7_random_2,41,891.34326,1.19957,0.77801234,1.0,0.0,18.0
exp7_random_2,42,1179.2177,2.1436186,0.662397,1.0,0.0,41.0
exp7_random_2,43,1143.883,1.5872537,0.59447795,1.0,0.0,40.0
exp7_random_2,44,1094.1003,1.1839836,0.5881555,1.0,0.0,55.0
exp7_random_2,45,430.35156,1.0967292,0.572405,0.0,1.0,31.0
exp7_random_2,46,1058.0706,1.4986072,0.6230785,1.0,0.0,39.0
exp7_random_2,47,388.10803,1.5316849,0.7347814,0.0,1.0,16.0
exp7_random_2,48,122.8354,2.3409262,0.56948435,0.0,1.0,19.0
exp7_random_2,49,-111.21711,2.7462366,0.9381105,0.0,1.0,7.0
exp7_random_2,50,-53.36557,1.7492902,0.8857805,0.0,1.0,18.0
exp7_random_2,51,1067.2477,1.2989804,0.741152,1.0,0.0,77.0
exp7_random_2,52,1121.3337,1.6297834,0.73684573,1.0,0.0,36.0
exp7_random_2,53,1116.6687,1.5297595,0.48259404,1.0,0.0,41.0
exp7_random_2,54,1028.8835,1.226799,0.39772558,1.0,0.0,35.0
exp7_random_2,55,1117.351,1.7550876,0.53868395,1.0,0.0,33.0
exp7_random_2,56,969.66266,1.0736386,0.6266153,1.0,0.0,32.0
exp7_random_2,57,1070.4188,1.1507161,0.48183018,1.0,0.0,47.0
exp7_random_2,58,-95.776405,2.0714173,1.0392604,0.0,1.0,2.0
exp7_random_2,59,847.54224,0.999176,0.68409127,1.0,0.0,10.0
exp7_random_2,61,1279.0546,1.8413585,0.67351466,1.0,0.0,53.0
exp7_random_2,62,1308.8384,2.3907065,0.65854937,1.0,0.0,39.0
exp7_random_2,63,563.14014,1.788491,0.73784167,0.0,1.0,35.0
exp7_random_2,64,1086.943,1.3264825,0.54763156,1.0,0.0,40.0
exp7_random_2,65,1011.4806,1.6957519,0.6015534,1.0,0.0,22.0
exp7_random_2,66,-139.86603,3.7191153,0.3953167,0.0,1.0,1.0
exp7_random_2,67,1268.6813,1.8837848,0.6445754,1.0,0.0,53.0
exp7_random_2,68,981.65546,1.2416613,0.62274575,1.0,0.0,31.0
exp7_random_2,69,336.57822,1.5428303,0.9609377,0.0,1.0,7.0
exp7_random_2,70,480.19806,1.4803834,0.6816256,0.0,1.0,34.0
exp7_random_2,71,1248.2961,1.7904078,0.6264473,1.0,0.0,46.0
exp7_random_2,72,1184.9025,1.7805295,0.6259769,1.0,0.0,43.0
exp7_random_2,73,1027.6023,1.166366,0.48983866,1.0,0.0,36.0
exp7_random_2,74,936.3499,0.74469227,0.69292665,1.0,0.0,43.0
exp7_random_2,75,660.2028,0.8763894,0.65540826,0.0,0.0,200.0
