experiment,episode,return_total,reward_progress,reward_collision,reward_safety,reward_rotation
exp8_warehouse,1,-97.84651934942497,5.868533,-100.0,-3.493389355533626,-0.2216617
exp8_warehouse,2,303.7014435465791,457.0944,-100.0,-51.39517727760882,-1.9977894
exp8_warehouse,3,-146.13961964006782,4.7011194,-100.0,-49.87857480253338,-0.9621803
exp8_warehouse,4,395.0579145182039,553.2669,-100.0,-51.97151598528734,-6.237447
exp8_warehouse,5,938.5219576539096,951.9927,0.0,-6.395029910912491,-7.0757866
exp8_warehouse,6,599.1278646123417,709.7681,-100.0,-4.782490773167748,-5.857769
exp8_warehouse,7,-127.98189544677734,-113.503944,0.0,0.0,-14.4779625
exp8_warehouse,8,-176.4167527349138,-166.48659,0.0,-1.014621742101298,-8.915537
exp8_warehouse,9,1089.306884765625,1094.2161,0.0,0.0,-4.9090405
exp8_warehouse,10,962.4020472533202,972.3739,0.0,-1.0076982517594328,-8.96428
exp8_warehouse,11,-153.0371169542779,-139.72871,0.0,-0.1281871822431817,-13.180225
exp8_warehouse,12,962.593467018903,982.57434,0.0,-11.362957772561279,-8.617656
exp8_warehouse,13,-74.33411763576133,32.14656,-100.0,-5.96528601986631,-0.5153969
exp8_warehouse,14,-111.99813589397235,-4.395217,-100.0,-5.894862871052446,-1.7080526
exp8_warehouse,15,1244.5724618354561,1263.1561,0.0,-3.2957042076246372,-15.287774
exp8_warehouse,16,931.9742877242377,942.49646,0.0,-0.30936813948324415,-10.212859
exp8_warehouse,17,-100.91693076025503,8.288148,-100.0,-8.990273277273346,-0.21480446
exp8_warehouse,18,1047.3147303016008,1059.0677,0.0,-3.9166561880157356,-7.836545
exp8_warehouse,19,274.6484342389691,390.63214,-100.0,-9.35455223912631,-6.629036
exp8_warehouse,21,-51.43042555902433,53.212746,-100.0,-3.3653512195153215,-1.277815
exp8_warehouse,22,-56.669538698372605,52.494003,-100.0,-7.067315316710566,-2.0962234
exp8_warehouse,23,-25.980993790607542,83.46179,-100.0,-7.9557445305310655,-1.4870404
exp8_warehouse,24,334.60794007856254,457.89432,-100.0,-10.989019880712899,-12.297401
exp8_warehouse,25,341.9783026446913,462.3917,-100.0,-17.38554089282642,-3.0278466
exp8_warehouse,26,886.577490340049,904.8179,0.0,-8.138039652141105,-10.102375
exp8_warehouse,27,276.03262335796865,421.7426,-100.0,-37.33994929642393,-8.370052
exp8_warehouse,28,-19.774030808131513,108.97981,-100.0,-23.045815076378336,-5.708025
exp8_warehouse,29,370.5174229396591,476.3468,-100.0,-4.273036084129423,-1.5563523
exp8_warehouse,30,559.622443111578,573.5206,0.0,-3.266215870570424,-10.632017
exp8_warehouse,31,930.0087774843773,950.4737,0.0,-10.241970480603733,-10.223
exp8_warehouse,32,889.2764131951333,900.24915,0.0,-4.58144059549549,-6.3912063
exp8_warehouse,33,-102.38485638471838,2.718531,-100.0,-4.939049551967124,-0.16434047
exp8_warehouse,34,-62.05081596788975,46.42955,-100.0,-6.680527725536621,-1.799843
exp8_warehouse,35,555.3049765485899,672.4096,-100.0,-8.491836280738537,-8.612778
exp8_warehouse,36,-52.799113656410675,59.669937,-100.0,-10.688194866986478,-1.7808592
exp8_warehouse,37,502.9052876071079,615.3665,-100.0,-7.6866873964218305,-4.7746468
exp8_warehouse,38,332.1156046576559,446.08478,-100.0,-7.501913523791032,-6.4672394
exp8_warehouse,39,28.64478307899759,148.16219,-100.0,-8.810153141087483,-10.707149
exp8_warehouse,41,37.22834318226718,163.6146,-100.0,-17.90443027674675,-8.481852
exp8_warehouse,42,-61.11456581118925,55.2492,-100.0,-12.911233483671976,-3.4525337
exp8_warehouse,43,-30.111687153665727,88.581825,-100.0,-14.658806023072126,-4.0347075
exp8_warehouse,44,910.1747978399922,925.5541,0.0,-5.925840825095503,-9.453373
exp8_warehouse,45,905.9150542879531,913.0316,0.0,-2.4015668530894394,-4.715016
exp8_warehouse,46,474.8884150334866,592.7718,-100.0,-11.196624990995229,-6.6866717
exp8_warehouse,47,-120.56002172343634,34.618523,-100.0,-53.652390770604505,-1.5261618
exp8_warehouse,48,1165.5168221286356,1175.6921,0.0,-0.2620617644071913,-9.913162
exp8_warehouse,49,-105.76787478118831,0.4783473,-100.0,-5.7067307193360675,-0.53948945
exp8_warehouse,50,319.4279185871401,424.21915,-100.0,-2.9125188527559547,-1.8787107
exp8_warehouse,51,356.3181421083674,482.67694,-100.0,-18.87714700530654,-7.481706
exp8_warehouse,52,-120.49010467529297,30.462626,-100.0,-49.87499999999999,-1.0777471
exp8_warehouse,53,-97.27765074767713,5.225569,-100.0,-2.4394010526300094,-0.06381585
exp8_warehouse,54,502.618381353237,610.3946,-100.0,-2.9524523656036976,-4.8236947
exp8_warehouse,55,308.096064585454,463.8241,-100.0,-52.506221487226796,-3.2217817
exp8_warehouse,56,939.4212781100215,944.07007,0.0,-1.544421458456795,-3.104282
exp8_warehouse,57,-5.172605574128838,113.09354,-100.0,-12.546864904844833,-5.7192907
exp8_warehouse,58,840.0017146885975,844.7365,0.0,-1.081692968623348,-3.6530995
exp8_warehouse,59,933.2191518750005,947.43744,0.0,-5.1617320713157415,-9.056568
exp8_warehouse,61,370.97653024550505,528.98724,-100.0,-54.9034449183386,-3.1072335
exp8_warehouse,62,1169.3997864356015,1191.7277,0.0,-13.35450743776533,-8.973415
exp8_warehouse,63,-76.78424219479119,31.97647,-100.0,-7.932562157691334,-0.8281491
exp8_warehouse,64,232.27595663873734,375.63486,-100.0,-36.33590852414661,-7.0230074
exp8_warehouse,65,951.381255805271,966.233,0.0,-11.487403289650715,-3.3643007
exp8_warehouse,66,301.70248279516943,420.69742,-100.0,-11.022949129516427,-7.9719715
exp8_warehouse,67,1057.3309240417134,1066.763,0.0,-2.7008923979362756,-6.731245
exp8_warehouse,68,958.2391051920907,966.69324,0.0,-3.105255336323159,-5.3488812
exp8_warehouse,69,-121.06856085742528,-0.2289387,-100.0,-20.444651489449274,-0.39497033
exp8_warehouse,70,871.1880896169548,876.4238,0.0,-0.830659547462546,-4.4048476
exp8_warehouse,71,913.4593053103897,919.8651,0.0,-1.9375091913964206,-4.468164
exp8_warehouse,72,453.82179235831654,462.71402,0.0,-2.4343903035747085,-6.457822
exp8_warehouse,73,992.436456755201,995.2228,0.0,-0.25699572597936715,-2.529329
exp8_warehouse,74,-119.62784379540001,34.242397,-100.0,-52.69288598641043,-1.1773541
exp8_warehouse,75,707.2656522239001,722.09314,0.0,-5.827342593962771,-9.000635
exp8_warehouse,76,864.9063524489015,871.48114,0.0,-0.0015068467050222412,-6.573301
exp8_warehouse,77,125.15157556959191,231.7535,-100.0,-4.644634165292567,-1.9572942
exp8_warehouse,78,1053.4958200361666,1059.7759,0.0,-2.652716918919947,-3.6273735
exp8_warehouse,79,-33.179234112064464,72.248116,-100.0,-3.630366468253654,-1.7969793
exp8_warehouse,81,1242.8830014300709,1249.9482,0.0,-0.7984939554064117,-6.2667866
exp8_warehouse,82,-113.93339497501482,-4.795578,-100.0,-7.601954742844551,-1.5358602
exp8_warehouse,83,910.9666364045436,924.90076,0.0,-8.84288322047434,-5.091172
exp8_warehouse,84,437.2683775694644,545.10345,-100.0,-4.872863151522115,-2.9622586
exp8_warehouse,85,1035.0985990781223,1043.3193,0.0,-0.39478470759840734,-7.8260517
exp8_warehouse,86,957.137722588209,974.402,0.0,-7.4217036204288584,-9.842503
exp8_warehouse,87,443.54104538726403,554.85913,-100.0,-7.941468059096718,-3.3765469
exp8_warehouse,88,1459.6097041159728,1468.4469,0.0,-1.2225956635734867,-7.6146035
exp8_warehouse,89,816.8859875190507,819.4223,0.0,-1.2288547948149127,-1.3075072
exp8_warehouse,90,877.8607643804737,884.4163,0.0,-2.183106581663916,-4.3724146
exp8_warehouse,91,-102.51640208093404,2.4527845,-100.0,-4.509767866972382,-0.4594183
exp8_warehouse,92,-126.52985141708832,24.634834,-100.0,-50.355722929382125,-0.80896616
exp8_warehouse,93,935.4884685325511,939.91626,0.0,-1.1658307821648566,-3.2617757
exp8_warehouse,94,-147.3715744336417,3.6525013,-100.0,-50.17801816401092,-0.84606093
exp8_warehouse,95,-140.42606409251226,12.160448,-100.0,-52.05454729793479,-0.53196305
exp8_warehouse,96,964.7724286410875,968.24115,0.0,-1.211364942843985,-2.2575455
exp8_warehouse,97,929.1669253070354,948.7734,0.0,-11.953791828426521,-7.6525803
exp8_warehouse,98,-131.90636044301942,18.46052,-100.0,-50.11553865604952,-0.25134525
exp8_warehouse,99,884.2622102239118,890.57556,0.0,-1.4853387108066691,-4.8279953
exp8_warehouse,101,2.3691527547325677,109.32411,-100.0,-5.312170871025964,-1.6427921
exp8_warehouse,102,-61.2532409600312,48.545017,-100.0,-7.542374780350157,-2.2558777
exp8_warehouse,103,920.3510168775227,924.55615,0.0,-0.522409517945674,-3.6827302
exp8_warehouse,104,1128.947458687444,1131.9888,0.0,-0.6102995628298375,-2.4311476
exp8_warehouse,105,1009.6553432825162,1016.56287,0.0,-1.8675129907065158,-5.0398865
exp8_warehouse,106,426.5923035610101,541.688,-100.0,-10.350776986721193,-4.7449555
exp8_warehouse,107,553.8947898035627,711.1815,-100.0,-51.37611469158526,-5.9105363
exp8_warehouse,108,937.7939894497006,943.5788,0.0,-2.855595214098345,-2.9292839
exp8_warehouse,109,359.51494986196343,519.7993,-100.0,-54.11530391866978,-6.1691194
exp8_warehouse,110,-96.61653847633393,6.523545,-100.0,-3.009594665509616,-0.13048658
