experiment,episode,return_total,mean_v,mean_abs_omega,success_rate,collision_rate,mean_time_travel
exp8_warehouse,1,-97.84651934942497,2.003162,0.57948303,0.0,1.0,2.0
exp8_warehouse,2,303.7014435465791,1.5345232,0.8449868,0.0,1.0,13.0
exp8_warehouse,3,-146.13961964006782,1.0583726,0.874696,0.0,1.0,6.0
exp8_warehouse,4,395.0579145182039,1.0523767,0.74879295,0.0,1.0,47.0
exp8_warehouse,5,938.5219576539096,0.8654374,0.65441847,1.0,0.0,64.0
exp8_warehouse,6,599.1278646123417,1.1450877,0.57449794,0.0,1.0,67.0
exp8_warehouse,7,-127.98189544677734,0.1703157,0.5088377,0.0,0.0,200.0
exp8_warehouse,8,-176.4167527349138,0.09859915,0.37771195,0.0,0.0,200.0
exp8_warehouse,9,1089.306884765625,1.0707439,0.60241246,1.0,0.0,50.0
exp8_warehouse,10,962.4020472533202,0.4633615,0.4953474,1.0,0.0,124.0
exp8_warehouse,11,-153.0371169542779,0.105404615,0.4518708,0.0,0.0,200.0
exp8_warehouse,12,962.593467018903,0.48388648,0.47007328,1.0,0.0,130.0
exp8_warehouse,13,-74.33411763576133,1.5671867,0.63977295,0.0,1.0,6.0
exp8_warehouse,14,-111.99813589397235,0.21639311,0.90360296,0.0,1.0,10.0
exp8_warehouse,15,1244.5724618354561,0.9264465,0.66420764,1.0,0.0,139.0
exp8_warehouse,16,931.9742877242377,0.4148975,0.55984455,1.0,0.0,118.0
exp8_warehouse,17,-100.91693076025503,3.330183,1.0363505,0.0,1.0,1.0
exp8_warehouse,18,1047.3147303016008,0.71944976,0.50097823,1.0,0.0,106.0
exp8_warehouse,19,274.6484342389691,0.22581519,0.71846664,0.0,1.0,54.0
exp8_warehouse,21,-51.43042555902433,1.8966111,0.875186,0.0,1.0,8.0
exp8_warehouse,22,-56.669538698372605,1.3561417,0.76948833,0.0,1.0,14.0
exp8_warehouse,23,-25.980993790607542,1.270046,0.4123483,0.0,1.0,27.0
exp8_warehouse,24,334.60794007856254,0.39040658,0.5856217,0.0,1.0,135.0
exp8_warehouse,25,341.9783026446913,0.51508313,0.35445818,0.0,1.0,75.0
exp8_warehouse,26,886.577490340049,0.35699752,0.54739517,1.0,0.0,129.0
exp8_warehouse,27,276.03262335796865,0.3688439,0.6803724,0.0,1.0,74.0
exp8_warehouse,28,-19.774030808131513,0.64104676,0.5777637,0.0,1.0,66.0
exp8_warehouse,29,370.5174229396591,0.8878151,0.47808394,0.0,1.0,20.0
exp8_warehouse,30,559.622443111578,0.3713713,0.4090432,0.0,0.0,200.0
exp8_warehouse,31,930.0087774843773,0.4298918,0.57076216,1.0,0.0,116.0
exp8_warehouse,32,889.2764131951333,0.44815627,0.55626094,1.0,0.0,71.0
exp8_warehouse,33,-102.38485638471838,0.55046886,0.36657554,0.0,1.0,5.0
exp8_warehouse,34,-62.05081596788975,0.7971298,0.50899065,0.0,1.0,22.0
exp8_warehouse,35,555.3049765485899,0.7075443,0.50516236,0.0,1.0,113.0
exp8_warehouse,36,-52.799113656410675,1.0918313,0.53171474,0.0,1.0,22.0
exp8_warehouse,37,502.9052876071079,0.983481,0.51028866,0.0,1.0,60.0
exp8_warehouse,38,332.1156046576559,0.3109037,0.48269948,0.0,1.0,102.0
exp8_warehouse,39,28.64478307899759,0.3817179,0.564127,0.0,1.0,127.0
exp8_warehouse,41,37.22834318226718,0.60927016,0.56556594,0.0,1.0,104.0
exp8_warehouse,42,-61.11456581118925,0.523362,0.55921084,0.0,1.0,43.0
exp8_warehouse,43,-30.111687153665727,0.716415,0.59937245,0.0,1.0,43.0
exp8_warehouse,44,910.1747978399922,0.5656446,0.6993445,1.0,0.0,79.0
exp8_warehouse,45,905.9150542879531,0.57215035,0.4911732,1.0,0.0,66.0
exp8_warehouse,46,474.8884150334866,1.0551518,0.6215854,0.0,1.0,62.0
exp8_warehouse,47,-120.56002172343634,1.2455591,0.7221512,0.0,1.0,12.0
exp8_warehouse,48,1165.5168221286356,0.8660426,0.6405787,1.0,0.0,98.0
exp8_warehouse,49,-105.76787478118831,0.42001593,0.5150408,0.0,1.0,8.0
exp8_warehouse,50,319.4279185871401,0.5183485,0.605036,0.0,1.0,18.0
exp8_warehouse,51,356.3181421083674,0.5484698,0.62788117,0.0,1.0,70.0
exp8_warehouse,52,-120.49010467529297,1.6035532,0.9262569,0.0,1.0,6.0
