experiment,worker,episode,return,average_return,best_return,mean_time_travel,average_mean_time_travel,best_mean_time_travel,success_rate,average_success_rate,best_success_rate
random_easy,0,1,-337.99357045227293,-337.99357045227293,-337.99357045227293,7.0,7.0,7.0,0.0,0.0,0.0
random_easy,0,2,-527.1603234170295,-432.57694693465123,-337.99357045227293,9.0,8.0,7.0,0.0,0.0,0.0
random_easy,0,3,-6331.151107794848,-2398.76833388805,-337.99357045227293,100.0,38.666666666666664,7.0,0.0,0.0,0.0
random_easy,0,4,-706.238030672239,-1975.6357580840972,-337.99357045227293,15.0,32.75,7.0,0.0,0.0,0.0
random_easy,0,5,-21.978030422864265,-1584.9042125518506,-337.99357045227293,12.0,28.6,7.0,0.0,0.0,0.0
random_easy,0,6,-2646.4456302744434,-1761.827782172283,-337.99357045227293,26.0,28.166666666666668,7.0,0.0,0.0,0.0
random_easy,0,7,-385.1015415482014,-1565.1526049402712,-337.99357045227293,11.0,25.714285714285715,7.0,0.0,0.0,0.0
random_easy,0,8,3061.468763875044,-986.8249338383569,-337.99357045227293,27.0,25.875,7.0,1.0,0.125,0.125
random_easy,0,9,-105.37455378502284,-888.8860027213198,-337.99357045227293,6.0,23.666666666666668,7.0,0.0,0.1111111111111111,0.125
random_easy,0,10,1467.1399975250094,-653.2834026966868,-337.99357045227293,42.0,25.5,7.0,0.0,0.1,0.125
random_easy,0,11,353.6842851935893,-561.7408856157526,-337.99357045227293,36.0,26.454545454545453,7.0,0.0,0.09090909090909091,0.125
random_easy,0,12,-2136.97926688684,-693.0107507216766,-337.99357045227293,29.0,26.666666666666668,7.0,0.0,0.08333333333333333,0.125
random_easy,0,13,-732.272276557297,-696.0308680936473,-337.99357045227293,21.0,26.23076923076923,7.0,0.0,0.07692307692307693,0.125
random_easy,0,14,-296.9415813948502,-667.5244904723047,-337.99357045227293,28.0,26.357142857142858,7.0,0.0,0.07142857142857142,0.125
random_easy,0,15,-2072.700368016954,-761.2028823086147,-337.99357045227293,62.0,28.733333333333334,7.0,0.0,0.06666666666666667,0.125
random_easy,0,16,-136.74936325119486,-722.174537367526,-337.99357045227293,5.0,27.25,7.0,0.0,0.0625,0.125
random_easy,0,17,523.2688075561151,-648.9131641367236,-337.99357045227293,11.0,26.294117647058822,7.0,0.0,0.058823529411764705,0.125
random_easy,0,18,-13936.484962469782,-1387.1115973774492,-337.99357045227293,100.0,30.38888888888889,7.0,0.0,0.05555555555555555,0.125
random_easy,0,19,-5669.047812037153,-1612.476661306907,-337.99357045227293,63.0,32.10526315789474,7.0,0.0,0.05263157894736842,0.125
random_easy,0,20,2313.499522944412,-1416.1778520943412,-337.99357045227293,18.0,31.4,7.0,0.0,0.05,0.125
random_easy,0,21,-1530.7311805461702,-1421.6327724968091,-337.99357045227293,35.0,31.571428571428573,7.0,0.0,0.047619047619047616,0.125
random_easy,0,22,-8984.559928104498,-1765.402188660795,-337.99357045227293,58.0,32.77272727272727,7.0,0.0,0.045454545454545456,0.125
random_easy,0,23,-9627.57871794122,-2107.235950803422,-337.99357045227293,49.0,33.47826086956522,7.0,0.0,0.043478260869565216,0.125
random_easy,0,24,-1775.8581475673432,-2093.428542335252,-337.99357045227293,16.0,32.75,7.0,0.0,0.041666666666666664,0.125
random_easy,0,25,-21439.255165936334,-2867.2616072792957,-337.99357045227293,100.0,35.44,7.0,0.0,0.04,0.125
random_easy,0,26,-673.0171334170824,-2782.867589053826,-337.99357045227293,33.0,35.34615384615385,7.0,0.0,0.038461538461538464,0.125
random_easy,0,27,-470.4964393594661,-2697.2242131392204,-337.99357045227293,19.0,34.74074074074074,7.0,0.0,0.037037037037037035,0.125
random_easy,0,28,-259.23860625105294,-2610.1532986075,-337.99357045227293,71.0,36.035714285714285,7.0,0.0,0.03571428571428571,0.125
random_easy,0,29,1123.0657125974294,-2481.421608565951,-337.99357045227293,100.0,38.241379310344826,7.0,0.0,0.034482758620689655,0.125
random_easy,0,30,-641.3386873090092,-2420.0855111907194,-337.99357045227293,100.0,40.3,7.0,0.0,0.03333333333333333,0.125
random_easy,0,31,-524.1975261823252,-2358.9278342549646,-337.99357045227293,100.0,42.225806451612904,7.0,0.0,0.03225806451612903,0.125
random_easy,0,32,-690.6251800693609,-2306.7933763116644,-337.99357045227293,100.0,44.03125,7.0,0.0,0.03125,0.125
random_easy,0,33,-802.4187204864653,-2261.206265529083,-337.99357045227293,100.0,45.72727272727273,7.0,0.0,0.030303030303030304,0.125
random_easy,0,34,-475.86923534544667,-2208.696352876623,-337.99357045227293,100.0,47.3235294117647,7.0,0.0,0.029411764705882353,0.125
random_easy,0,35,172.6718173922427,-2140.6572622975127,-337.99357045227293,100.0,48.82857142857143,7.0,0.0,0.02857142857142857,0.125
random_easy,0,36,559.7487992198265,-2065.64598281092,-337.99357045227293,100.0,50.25,7.0,0.0,0.027777777777777776,0.125
random_easy,0,37,-220.74901979048383,-2015.7839027292864,-337.99357045227293,100.0,51.5945945945946,7.0,0.0,0.02702702702702703,0.125
random_easy,0,38,890.3310656942828,-1939.3071930339295,-337.99357045227293,100.0,52.86842105263158,7.0,0.0,0.02631578947368421,0.125
random_easy,0,39,109.93434807727209,-1886.7625381336425,-337.99357045227293,100.0,54.07692307692308,7.0,0.0,0.02564102564102564,0.125
random_easy,0,40,-453.45609001901744,-1850.929876930776,-337.99357045227293,100.0,55.225,7.0,0.0,0.025,0.125
random_easy,0,41,301.88694573893054,-1798.4221495485879,-337.99357045227293,100.0,56.31707317073171,7.0,0.0,0.024390243902439025,0.125
random_easy,0,42,159.69502139049095,-1751.8003121452764,-337.99357045227293,100.0,57.357142857142854,7.0,0.0,0.023809523809523808,0.125
random_easy,0,43,-155.25481169199813,-1714.671347018456,-337.99357045227293,100.0,58.348837209302324,7.0,0.0,0.023255813953488372,0.125
random_easy,0,44,-337.54025333901484,-1683.3729130711959,-337.99357045227293,100.0,59.29545454545455,7.0,0.0,0.022727272727272728,0.125
random_easy,0,45,-854.0881913295362,-1664.9443636991589,-337.99357045227293,100.0,60.2,7.0,0.0,0.022222222222222223,0.125
random_easy,0,46,615.5745436797974,-1615.3678657126597,-337.99357045227293,100.0,61.06521739130435,7.0,0.0,0.021739130434782608,0.125
random_easy,0,47,676.6146552148147,-1566.6022801610113,-337.99357045227293,100.0,61.8936170212766,7.0,0.0,0.02127659574468085,0.125
random_easy,0,48,27.532498712624992,-1533.3911389344778,-337.99357045227293,100.0,62.6875,7.0,0.0,0.020833333333333332,0.125
random_easy,0,49,2273.334839271118,-1455.702853664976,-337.99357045227293,100.0,63.44897959183673,7.0,0.0,0.02040816326530612,0.125
random_easy,0,50,-4070.431175921452,-1507.9974201101054,-337.99357045227293,100.0,64.18,7.0,0.0,0.02,0.125
random_easy,0,51,260.03845804012286,-1473.3300499502968,-337.99357045227293,100.0,64.88235294117646,7.0,0.0,0.0196078431372549,0.125
random_easy,0,52,-197.54217949743713,-1448.7956678262033,-337.99357045227293,100.0,65.5576923076923,7.0,0.0,0.019230769230769232,0.125
random_easy,0,53,203.20890530590478,-1417.6257702199373,-337.99357045227293,100.0,66.20754716981132,7.0,0.0,0.018867924528301886,0.125
random_easy,0,54,-2498.8248158107253,-1437.6479747679148,-337.99357045227293,100.0,66.83333333333333,7.0,0.0,0.018518518518518517,0.125
random_easy,0,55,-2801.4875438473155,-1462.4450578420856,-337.99357045227293,100.0,67.43636363636364,7.0,0.0,0.01818181818181818,0.125
random_easy,0,56,1846.2327056818099,-1403.3615263505876,-337.99357045227293,100.0,68.01785714285714,7.0,0.0,0.017857142857142856,0.125
random_easy,0,57,495.8040251053423,-1370.0428324653958,-337.99357045227293,100.0,68.57894736842105,7.0,0.0,0.017543859649122806,0.125
random_easy,0,58,-857.1106976022355,-1361.1991749677552,-337.99357045227293,100.0,69.12068965517241,7.0,0.0,0.017241379310344827,0.125
random_easy,0,59,-574.4260804940933,-1347.8640377732866,-337.99357045227293,100.0,69.64406779661017,7.0,0.0,0.01694915254237288,0.125
random_easy,0,60,1970.5627517544156,-1292.5569246144914,-337.99357045227293,100.0,70.15,7.0,0.0,0.016666666666666666,0.125
random_easy,0,61,5178.910804566214,-1186.4672897098897,-337.99357045227293,100.0,70.63934426229508,7.0,0.0,0.01639344262295082,0.125
random_easy,0,62,895.5087062691199,-1152.8870317102283,-337.99357045227293,100.0,71.11290322580645,7.0,0.0,0.016129032258064516,0.125
random_easy,0,63,269.66739854464913,-1130.3068026585636,-337.99357045227293,100.0,71.57142857142857,7.0,0.0,0.015873015873015872,0.125
random_easy,0,64,-424.10825942036684,-1119.2724504204666,-337.99357045227293,100.0,72.015625,7.0,0.0,0.015625,0.125
