environment,worker,episode,return,mean_time_travel,success_rate,collision_rate
random_easy,0,1,-89.6934239176972,7.0,0.0,1.0
random_easy,0,2,-156.81647664654474,9.0,0.0,1.0
random_easy,0,3,-406.02597287747074,100.0,0.0,0.0
random_easy,0,4,-111.07353197636704,15.0,0.0,1.0
random_easy,0,5,-81.24584381751308,12.0,0.0,1.0
random_easy,0,6,-232.1837529324865,26.0,0.0,1.0
random_easy,0,7,-114.62201967247354,11.0,0.0,1.0
random_easy,0,8,253.10928329234605,27.0,1.0,0.0
random_easy,0,9,-70.77526979034246,6.0,0.0,1.0
random_easy,0,10,-90.93769719961645,42.0,0.0,1.0
random_easy,0,11,-41.158362883558,36.0,0.0,1.0
random_easy,0,12,-210.58053344318145,29.0,0.0,1.0
random_easy,0,13,-154.0631617201368,21.0,0.0,1.0
random_easy,0,14,-117.3257290126659,28.0,0.0,1.0
random_easy,0,15,6.635891817988565,62.0,0.0,1.0
random_easy,0,16,-80.586863819445,5.0,0.0,1.0
random_easy,0,17,-0.49730689806811057,11.0,0.0,1.0
random_easy,0,18,-276.07130310494017,100.0,0.0,0.0
random_easy,0,19,-107.95434799701488,63.0,0.0,1.0
random_easy,0,20,112.5200681964397,18.0,0.0,1.0
random_easy,0,21,-168.92109550697083,35.0,0.0,1.0
random_easy,0,22,-68.21817661389429,58.0,0.0,1.0
random_easy,0,23,-189.15589150723468,49.0,0.0,1.0
random_easy,0,24,-245.92257251685916,16.0,0.0,1.0
random_easy,0,25,-267.44024390101663,100.0,0.0,0.0
random_easy,0,26,-113.49428500993949,33.0,0.0,1.0
random_easy,0,27,-99.98628165552756,19.0,0.0,1.0
random_easy,0,28,-75.56890542614548,71.0,0.0,1.0
random_easy,0,29,-45.23907041492011,100.0,0.0,0.0
random_easy,0,30,-75.12868977941497,100.0,0.0,0.0
random_easy,0,31,-56.66978434880586,100.0,0.0,0.0
random_easy,0,32,-56.61274418220275,100.0,0.0,0.0
random_easy,0,33,-56.94031068761283,100.0,0.0,0.0
random_easy,0,34,-65.60490376203418,100.0,0.0,0.0
random_easy,0,35,-51.963887629230804,100.0,0.0,0.0
random_easy,0,36,-51.38612551839954,100.0,0.0,0.0
random_easy,0,37,-52.585700184622034,100.0,0.0,0.0
random_easy,0,38,-48.92178019197486,100.0,0.0,0.0
random_easy,0,39,-47.61964534033584,100.0,0.0,0.0
random_easy,0,40,-55.197442524434436,100.0,0.0,0.0
random_easy,0,41,-46.925031668472876,100.0,0.0,0.0
random_easy,0,42,-48.06813848312425,100.0,0.0,0.0
random_easy,0,43,-46.73145858501865,100.0,0.0,0.0
random_easy,0,44,-54.506282032624746,100.0,0.0,0.0
random_easy,0,45,-58.57127116218953,100.0,0.0,0.0
random_easy,0,46,-42.45545510559558,100.0,0.0,0.0
random_easy,0,47,-34.64226882656247,100.0,0.0,0.0
random_easy,0,48,-50.43152704638468,100.0,0.0,0.0
random_easy,0,49,16.8911137145532,100.0,0.0,0.0
random_easy,0,50,-112.49962315254953,100.0,0.0,0.0
random_easy,0,51,-43.50446933915832,100.0,0.0,0.0
random_easy,0,52,-54.319853231578946,100.0,0.0,0.0
random_easy,0,53,-6.206683619857699,100.0,0.0,0.0
random_easy,0,54,-60.76768261285972,100.0,0.0,0.0
random_easy,0,55,-79.28070322174098,100.0,0.0,0.0
random_easy,0,56,-12.098421164211636,100.0,0.0,0.0
random_easy,0,57,-41.5042499257277,100.0,0.0,0.0
random_easy,0,58,-53.33853310234192,100.0,0.0,0.0
random_easy,0,59,-57.09898546794099,100.0,0.0,0.0
random_easy,0,60,-23.657072048883954,100.0,0.0,0.0
random_easy,0,61,21.8716773482399,100.0,0.0,0.0
random_easy,0,62,-31.072704197281645,100.0,0.0,0.0
