experiment,episode,return_total,mean_v,mean_abs_omega,success_rate,collision_rate,mean_time_travel
random_hard,1,782.7381591796875,1.2792498,0.7674513,1.0,0.0,35.0
random_hard,2,884.3563232421875,1.4050353,0.72493345,1.0,0.0,50.0
random_hard,3,1026.114990234375,1.6266737,0.77687746,1.0,0.0,55.0
random_hard,4,-332.3348839830997,2.6718512,0.31912133,0.0,1.0,3.0
random_hard,5,889.3804321289062,0.96270126,0.77546793,1.0,0.0,55.0
random_hard,6,807.4066162109375,1.256916,0.7904746,1.0,0.0,42.0
random_hard,7,1276.0828857421875,1.5024116,0.7588125,1.0,0.0,70.0
random_hard,8,-11.439561183417084,2.7239013,0.893823,0.0,1.0,25.0
random_hard,9,770.9083251953125,1.2159984,0.7466649,1.0,0.0,37.0
random_hard,10,906.582275390625,1.136173,0.83295715,1.0,0.0,53.0
random_hard,11,498.96343994140625,0.7601336,0.80973417,1.0,0.0,21.0
random_hard,12,1129.8370361328125,1.372104,0.7593358,1.0,0.0,62.0
random_hard,13,850.042724609375,1.5712153,0.7006653,1.0,0.0,39.0
random_hard,14,1264.0654296875,1.3744477,0.79825974,1.0,0.0,72.0
random_hard,15,780.90380859375,1.1609726,0.81826824,1.0,0.0,45.0
random_hard,16,1564.466552734375,1.7894517,0.8334483,1.0,0.0,86.0
random_hard,17,836.7360229492188,1.020877,0.8201866,1.0,0.0,47.0
random_hard,18,1134.1800537109375,1.4932244,0.7142391,1.0,0.0,58.0
random_hard,19,1243.4293212890625,1.530831,0.793442,1.0,0.0,67.0
random_hard,21,870.6879272460938,1.3426847,0.8928252,1.0,0.0,44.0
random_hard,22,1144.4283447265625,1.546964,0.83464557,1.0,0.0,63.0
random_hard,23,754.203857421875,0.8781086,0.87448865,1.0,0.0,41.0
random_hard,24,898.2399291992188,1.1756727,0.8931985,1.0,0.0,54.0
random_hard,25,316.0203692365048,1.4740143,0.8230011,0.0,1.0,49.0
random_hard,26,921.57177734375,1.1870625,0.86436856,1.0,0.0,55.0
random_hard,27,447.01835507634854,1.2787526,0.7853972,0.0,1.0,65.0
random_hard,28,1424.4342041015625,1.5954107,0.8653213,1.0,0.0,79.0
random_hard,29,1444.708740234375,1.7966051,0.81939846,1.0,0.0,73.0
random_hard,30,1175.981201171875,1.5086695,0.9273717,1.0,0.0,66.0
random_hard,31,1228.55615234375,1.5437196,0.8361164,1.0,0.0,64.0
