experiment,episode,return_total,mean_v,mean_abs_omega,success_rate,collision_rate,mean_time_travel
exp2_fixed_1,1,491.63312,1.8714801,0.36589062,1.0,0.0,15.0
exp2_fixed_1,2,553.63684,2.685187,0.31249663,1.0,0.0,15.0
exp2_fixed_1,3,477.53003,1.9899011,0.5020918,1.0,0.0,13.0
exp2_fixed_1,4,386.68518,1.0231947,0.2013036,1.0,0.0,28.0
exp2_fixed_1,5,-345.38983,3.2053602,0.13274156,0.0,1.0,2.0
exp2_fixed_1,6,434.56274,1.2611214,0.19876835,1.0,0.0,23.0
exp2_fixed_1,7,595.7983,2.261699,0.24220848,1.0,0.0,19.0
exp2_fixed_1,8,-189.43973,2.6277156,0.17411318,0.0,1.0,4.0
exp2_fixed_1,9,-296.00497,2.7773783,0.1348467,0.0,1.0,6.0
exp2_fixed_1,10,-81.17685,2.86884,0.18696682,0.0,1.0,9.0
exp2_fixed_1,11,668.4222,2.7808657,0.20856138,1.0,0.0,20.0
exp2_fixed_1,12,-348.10535,3.020143,0.16617806,0.0,1.0,2.0
exp2_fixed_1,13,477.86157,1.3600078,0.72200114,1.0,0.0,36.0
exp2_fixed_1,14,-168.89969,1.9122531,0.19988316,0.0,1.0,10.0
exp2_fixed_1,15,-182.62749,2.404459,0.18506067,0.0,1.0,3.0
exp2_fixed_1,16,-297.68796,2.5933197,0.18705082,0.0,1.0,5.0
exp2_fixed_1,17,569.7113,2.2514138,0.2986741,1.0,0.0,20.0
exp2_fixed_1,18,-243.06628,3.3468363,0.037288014,0.0,1.0,6.0
exp2_fixed_1,19,-186.98276,1.5863622,0.17210442,0.0,1.0,6.0
exp2_fixed_1,21,-216.84178,0.8491013,0.1251141,0.0,1.0,6.0
exp2_fixed_1,22,-318.59937,1.2683156,0.3114371,0.0,1.0,11.0
exp2_fixed_1,23,555.9882,1.9942161,0.21404985,1.0,0.0,19.0
exp2_fixed_1,24,598.2565,2.3801377,0.20922728,1.0,0.0,20.0
exp2_fixed_1,25,553.9313,1.5449071,0.47126216,1.0,0.0,33.0
exp2_fixed_1,26,-281.0604,2.2549999,0.11992864,0.0,1.0,7.0
exp2_fixed_1,27,-180.4969,1.1837301,0.26837596,0.0,1.0,12.0
exp2_fixed_1,28,-347.26865,2.5151906,0.34117028,0.0,1.0,2.0
exp2_fixed_1,29,-264.03436,1.7817265,0.16591226,0.0,1.0,15.0
exp2_fixed_1,30,-222.93417,2.3891761,0.18029027,0.0,1.0,4.0
exp2_fixed_1,31,-229.84856,2.6842606,0.15651356,0.0,1.0,6.0
exp2_fixed_1,32,-135.67464,2.5132565,0.18650688,0.0,1.0,7.0
exp2_fixed_1,33,-276.88968,2.761095,0.21320535,0.0,1.0,6.0
exp2_fixed_1,34,522.48706,1.7496244,0.39453873,1.0,0.0,25.0
exp2_fixed_1,35,561.2161,1.4948585,0.24198203,1.0,0.0,29.0
exp2_fixed_1,36,-226.2662,2.9328408,0.22402617,0.0,1.0,9.0
exp2_fixed_1,37,421.47266,0.95186853,0.3767886,1.0,0.0,29.0
exp2_fixed_1,38,-89.62947,2.7017405,0.09355127,0.0,1.0,9.0
exp2_fixed_1,39,-122.46174,2.4435833,0.15822989,0.0,1.0,8.0
exp2_fixed_1,41,-297.17596,2.9208674,0.086489856,0.0,1.0,5.0
exp2_fixed_1,42,-133.50294,1.3883488,0.15372957,0.0,1.0,15.0
exp2_fixed_1,43,-227.38391,1.2357275,0.331232,0.0,1.0,11.0
exp2_fixed_1,44,-337.26007,1.5366892,0.38510716,0.0,1.0,5.0
exp2_fixed_1,45,-180.4561,1.9988569,0.2025783,0.0,1.0,5.0
exp2_fixed_1,46,-94.90653,3.2924664,0.1496993,0.0,1.0,7.0
exp2_fixed_1,47,-243.7449,1.1126488,0.14467016,0.0,1.0,4.0
exp2_fixed_1,48,-126.41594,1.6797805,0.21294953,0.0,1.0,11.0
exp2_fixed_1,49,-266.1906,1.6007737,0.19821593,0.0,1.0,17.0
exp2_fixed_1,50,540.37537,1.9756955,0.21212167,1.0,0.0,18.0
exp2_fixed_1,51,533.9762,1.636741,0.48879504,1.0,0.0,24.0
exp2_fixed_1,52,-143.85619,2.5484245,0.20150971,0.0,1.0,6.0
exp2_fixed_1,53,-134.26825,2.1096563,0.12053393,0.0,1.0,9.0
exp2_fixed_1,54,-333.92813,1.4646974,0.17872584,0.0,1.0,6.0
exp2_fixed_1,55,464.196,1.4625738,0.43400747,1.0,0.0,21.0
exp2_fixed_1,56,-194.02664,1.5930973,0.22243457,0.0,1.0,5.0
exp2_fixed_1,57,-213.74046,1.8771842,0.19833133,0.0,1.0,16.0
exp2_fixed_1,58,-129.21606,2.4703038,0.09697771,0.0,1.0,7.0
exp2_fixed_1,59,666.7024,2.597192,0.20313615,1.0,0.0,21.0
exp2_fixed_1,61,-272.91858,1.2447102,0.23639828,0.0,1.0,18.0
exp2_fixed_1,62,-192.83047,2.8534274,0.088879116,0.0,1.0,4.0
exp2_fixed_1,63,-209.39684,2.095338,0.109395094,0.0,1.0,2.0
exp2_fixed_1,64,545.8552,1.6834743,0.28497863,1.0,0.0,23.0
exp2_fixed_1,65,503.10565,1.3626245,0.25471476,1.0,0.0,21.0
exp2_fixed_1,66,-160.12865,0.92193556,0.24162474,0.0,1.0,20.0
exp2_fixed_1,67,-219.28749,0.49869207,0.20328131,0.0,1.0,11.0
exp2_fixed_1,68,-260.39386,0.8541287,0.25597677,0.0,1.0,9.0
exp2_fixed_1,69,-227.53275,3.728068,0.12972091,0.0,1.0,6.0
exp2_fixed_1,70,-175.2794,0.96465194,0.20841375,0.0,1.0,14.0
exp2_fixed_1,71,435.8277,1.4493085,0.3420785,1.0,0.0,18.0
exp2_fixed_1,72,479.5721,1.1819967,0.46312237,1.0,0.0,29.0
exp2_fixed_1,73,-113.74379,2.1012583,0.2688526,0.0,1.0,10.0
exp2_fixed_1,74,-166.23972,1.7315909,0.27101597,0.0,1.0,8.0
exp2_fixed_1,75,-107.37901,1.8804415,0.1934874,0.0,1.0,11.0
exp2_fixed_1,76,580.4656,1.7007867,0.42471975,1.0,0.0,27.0
exp2_fixed_1,77,640.3798,2.2341933,0.21668312,1.0,0.0,23.0
exp2_fixed_1,78,-293.46082,0.64196485,0.21994236,0.0,1.0,15.0
exp2_fixed_1,79,478.94644,1.1898096,0.29036734,1.0,0.0,25.0
exp2_fixed_1,81,-101.02194,2.3537045,0.13746276,0.0,1.0,11.0
exp2_fixed_1,82,-115.06558,1.627182,0.14388646,0.0,1.0,13.0
exp2_fixed_1,83,529.7554,1.4519365,0.34595028,1.0,0.0,26.0
exp2_fixed_1,84,-334.21817,0.6546942,0.1614515,0.0,1.0,17.0
exp2_fixed_1,85,-109.31413,1.5600783,0.15209982,0.0,1.0,14.0
exp2_fixed_1,86,614.9552,1.8978376,0.20632084,1.0,0.0,24.0
exp2_fixed_1,87,-199.06342,0.8671281,0.28934798,0.0,1.0,12.0
exp2_fixed_1,88,-164.972,0.9809064,0.18049319,0.0,1.0,19.0
exp2_fixed_1,89,-195.19359,1.7909968,0.18673052,0.0,1.0,14.0
exp2_fixed_1,90,-146.31073,1.209469,0.29316235,0.0,1.0,17.0
exp2_fixed_1,91,-215.02367,0.46635073,0.1879773,0.0,1.0,15.0
exp2_fixed_1,92,-166.01521,1.1927695,0.22322826,0.0,1.0,15.0
exp2_fixed_1,93,-256.50165,1.756795,0.13918927,0.0,1.0,7.0
exp2_fixed_1,94,576.0178,1.7895561,0.34856212,1.0,0.0,27.0
exp2_fixed_1,95,-135.80278,1.3363961,0.18569607,0.0,1.0,18.0
exp2_fixed_1,96,-222.5717,0.5145508,0.1940625,0.0,1.0,40.0
exp2_fixed_1,97,-154.81833,1.4955753,0.15333591,0.0,1.0,12.0
exp2_fixed_1,98,-127.8736,1.2659675,0.23632506,0.0,1.0,18.0
