experiment,episode,return_total,reward_progress,reward_collision,reward_safety,reward_rotation
exp3_fixed_2,1,637.22327,640.6277,0.0,-1.2271759510040283,-2.1772692
exp3_fixed_2,2,589.67035,594.5185,0.0,-0.70606929063797,-4.1420784
exp3_fixed_2,3,581.11487,583.1616,0.0,-0.6165844798088074,-1.4301863
exp3_fixed_2,4,529.5155,546.824,0.0,-7.629613399505615,-9.678915
exp3_fixed_2,5,615.8607,619.19604,0.0,-1.1126611232757568,-2.2226727
exp3_fixed_2,6,590.4447,594.45825,0.0,-1.1404047012329102,-2.8731055
exp3_fixed_2,7,544.51276,549.55164,0.0,-1.185266375541687,-3.8536067
exp3_fixed_2,8,559.41125,565.6305,0.0,-3.1581335067749023,-3.0611475
exp3_fixed_2,9,611.4269,623.07697,0.0,-2.4186034202575684,-9.231435
exp3_fixed_2,10,632.37476,636.5175,0.0,-1.9723409414291382,-2.1703641
exp3_fixed_2,11,507.99356,515.3105,0.0,-1.305825114250183,-6.0110784
exp3_fixed_2,12,513.57025,529.5998,0.0,-5.4419965744018555,-10.587542
exp3_fixed_2,13,564.0991,591.30225,0.0,-13.169665336608887,-14.033472
exp3_fixed_2,14,568.5045,578.20654,0.0,-4.0847625732421875,-5.6172714
exp3_fixed_2,15,543.058,550.7717,0.0,-2.0000133514404297,-5.713721
exp3_fixed_2,16,593.074,596.097,0.0,-0.5182306170463562,-2.5047753
exp3_fixed_2,17,565.6825,569.78186,0.0,-2.1404080390930176,-1.958916
exp3_fixed_2,18,576.57086,581.1953,0.0,-3.2794811725616455,-1.3449781
exp3_fixed_2,19,151.91629,211.46501,0.0,-7.853460788726807,-51.69526
exp3_fixed_2,21,571.00507,578.66907,0.0,-1.3951071500778198,-6.268871
exp3_fixed_2,22,596.02014,609.756,0.0,-4.105214595794678,-9.630631
exp3_fixed_2,23,592.756,618.33344,0.0,-1.368857502937317,-24.208658
exp3_fixed_2,24,582.1462,588.0296,0.0,-1.549540638923645,-4.3339024
exp3_fixed_2,25,586.1482,590.67816,0.0,-1.2473281621932983,-3.2826254
exp3_fixed_2,26,602.5771,613.9371,0.0,-8.88991928100586,-2.4700477
exp3_fixed_2,27,588.1414,590.0161,0.0,-0.29718732833862305,-1.5775068
exp3_fixed_2,28,533.9831,554.50964,0.0,-2.127153158187866,-18.399342
exp3_fixed_2,29,540.8956,560.6991,0.0,-1.813486099243164,-17.989964
