experiment,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state
exp4_fixed_3,20,647,agent_1,10.810997,24.650984,36.71088589250647,-0.636073887348175,2.6890029907226562,4.8548408,0.1344949,3.8907266,3.9495964,-0.018088879,-0.04078105464577675,0.0,active
exp4_fixed_3,20,648,agent_1,12.757549,26.19179,35.81802080357545,-1.2350425720214844,1.2216405868530273,2.4825692,0.5350763,-1.2388357,3.8354893,-0.30439556,-0.8792029619216919,0.0,active
exp4_fixed_3,20,649,agent_1,13.458409,28.128244,36.31953044794031,-1.8443903923034668,2.67478084564209,2.0593846,0.55396247,-2.0276232,2.1577334,-0.61126995,-0.9221959710121155,0.0,active
exp4_fixed_3,20,650,agent_1,14.386461,28.354631,35.70370964754839,-0.8804020285606384,2.6453685760498047,0.9552655,-0.9842683,-2.0185382,1.1556604,-1.580054,-0.9698770046234131,0.0,active
exp4_fixed_3,20,651,agent_1,16.748287,29.264265,34.421649053550986,-1.071024775505066,1.7357349395751953,2.5309398,0.12836534,-0.053254023,1.4500971,-1.5965317,-1.3010900020599365,0.0,active
exp4_fixed_3,20,652,agent_1,19.076426,28.114132,31.908368516783263,-0.2642518877983093,2.794921875,2.5967352,-0.8264779,0.8435531,3.0020716,-2.2795975,-1.3264456987380981,0.0,active
exp4_fixed_3,20,653,agent_1,23.511698,28.895868,29.31250539466479,-1.0179712772369385,2.1041316986083984,4.503638,0.63330984,1.8241022,5.39939,-2.6806788,-1.4985805749893188,0.0,active
exp4_fixed_3,20,654,agent_1,26.525002,27.729452,26.47896826660812,-0.5299301743507385,3.270547866821289,3.2311795,-0.5437894,18.334337,24.029434,-2.9763858,-1.4985805749893188,0.0,active
exp4_fixed_3,20,655,agent_1,30.524942,27.733139,24.196903036216067,-1.0300521850585938,2.2331390380859375,3.9999418,0.37024856,1.6108371,25.911476,-3.1134698,-1.6327013969421387,0.0,active
exp4_fixed_3,20,656,agent_1,33.764786,27.870865,22.822843431131233,-1.196686863899231,2.3708648681640625,3.242771,0.041562464,0.5692509,26.582644,-3.1151972,-1.7328910827636719,0.0,active
exp4_fixed_3,20,657,agent_1,36.478252,27.552687,21.56260934688029,-1.1468015909194946,3.05780029296875,2.7320578,-0.15921043,9.739938,36.34793,-3.1405451,-1.7328910827636719,0.0,active
