experiment,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state
exp5_crossing_1,20,359,agent_1,11.750897974522527,7.566265169710183,20.35400201954685,0.8841419278047573,6.566265169710183,2.4657867,0.11881592,11.147446632385254,11.161564,-0.014117223,0.0,0.0,active
exp5_crossing_1,20,360,agent_1,14.272177547963079,7.872594598859811,18.84208324644416,0.986309526066637,6.872594598859811,2.5398207,0.0020890804,10.639229774475098,21.800798,-0.014121587,0.0,0.0,active
exp5_crossing_1,20,361,agent_1,16.669052929432805,8.47284788283732,17.33516229769566,0.9702321025082918,7.4728478828373195,2.4708936,0.12447982,10.460896492004395,32.27719,-0.029616814,0.0,0.0,active
exp5_crossing_1,20,362,agent_1,18.230456680806096,9.015949968427682,16.33281471379407,0.9590252114270947,8.015949968427682,1.653161,0.08935494,6.310075759887695,38.595253,-0.03760112,0.0,0.0,active
exp5_crossing_1,20,363,agent_1,19.556676001103337,9.62685019168284,15.42237829769447,0.9340467042331619,8.62685019168284,1.4601564,0.09692121,5.463101387023926,44.06775,-0.046994843,0.0,0.0,active
exp5_crossing_1,20,364,agent_1,20.782052368672307,10.15466201695826,14.696715623913647,1.0333747863349894,8.636124035808567,1.3342161,-0.024943229,4.296123027801514,48.364494,-0.047617007,0.0,0.0,active
exp5_crossing_1,20,365,agent_1,22.10979136899274,10.647260431379342,14.091021879817285,1.1738118986593358,7.899491794483602,1.4161724,-0.051453732,3.858165740966797,52.225307,-0.050264493,0.0,0.0,active
exp5_crossing_1,20,366,agent_1,23.27080008462232,11.02508873137858,13.712921115818244,1.2979937835806237,7.286401719923882,1.2209405,-0.040642288,2.330732822418213,54.557693,-0.051916286,0.0,0.0,active
exp5_crossing_1,20,367,agent_1,24.506463737042363,11.453716013759637,13.395014253179383,1.372364661388321,6.493536262957637,1.3078938,0.019271089,2.2049503326416016,56.763016,-0.05228766,0.0,0.0,active
exp5_crossing_1,20,368,agent_1,25.11099371388715,12.230434868663812,12.726531241192609,0.8521742053485777,5.889006286112849,0.9842503,0.57552725,2.979684352874756,60.073933,-0.3835193,0.0,0.0,active
exp5_crossing_1,20,369,agent_1,25.147812933476384,13.456596825450921,11.532732886747716,0.2441164563224445,5.318012201391606,1.2267146,0.6313573,6.023808479309082,66.49635,-0.7821313,0.0,0.0,active
exp5_crossing_1,20,370,agent_1,24.16633525565427,14.747208807796502,10.086334907522202,-0.5040256707511612,4.603563447640744,1.6214123,0.6801902,8.012155532836914,74.97117,-1.2447901,0.0,0.0,active
exp5_crossing_1,20,371,agent_1,23.148950130494054,15.619364533752465,9.117839125810468,-0.8125743283835973,5.0162483680899905,1.3400478,0.21193571,5.477657794952393,80.493744,-1.2897068,0.0,0.0,active
exp5_crossing_1,20,372,agent_1,22.38751939013761,16.417617891162898,8.31418355210836,-0.799086034823953,5.42930716910514,1.1031705,-0.100313395,4.2145562171936035,84.71836,-1.2997696,0.0,0.0,active
exp5_crossing_1,20,373,agent_1,21.79565015509885,17.30428937467959,7.476325090638438,-0.7095142018711167,6.4029117121556025,1.0660654,-0.17320189,4.291424751281738,89.03979,-1.3297685,0.0,0.0,active
exp5_crossing_1,20,374,agent_1,21.39136162474912,18.282896433204677,6.5741812400105095,-0.5917793233406412,8.642466508235103,1.05883,-0.19682084,4.589641094207764,93.66817,-1.368507,0.0,0.0,active
exp5_crossing_1,20,375,agent_1,21.150234521181996,19.341100845665004,5.602803359326423,-0.5038354568651626,9.726580535495748,1.0853289,-0.16773178,4.999413013458252,98.69572,-1.396641,0.0,0.0,active
exp5_crossing_1,20,376,agent_1,21.06446206644338,20.605797443717982,4.4320499125221,-0.4450709954966645,9.780966863385284,1.2676018,-0.15632229,6.364534854888916,105.08469,-1.4210777,0.0,0.0,active
exp5_crossing_1,20,377,agent_1,21.226747602971013,21.554891500801112,3.4955951519764854,-0.2649150198286754,9.445108499198888,0.9628687,-0.23706904,4.551809310913086,109.692696,-1.4772794,0.0,0.0,active
exp5_crossing_1,20,378,agent_1,21.503873825819905,22.693072352737452,2.3574631520634393,-0.2920773452423855,8.306927647262548,1.1714327,-0.06948231,6.028697490692139,115.72622,-1.4821072,0.0,0.0,active
exp5_crossing_1,20,379,agent_1,21.98559281304639,23.836640272468593,1.1392170079217188,-0.2763365470643507,7.163359727531407,1.240887,-0.15984897,6.547452926635742,122.299225,-1.5076588,0.0,0.0,active
exp5_crossing_1,20,380,agent_1,22.282852829249318,24.592093501419093,0.43574333304361007,-0.8835077107441756,6.407906498580907,0.81183314,0.023805428,403.14044189453125,525.44025,-1.5082256,0.0,0.0,terminated
exp5_crossing_1,40,992,agent_1,19.0688475086858,26.40594641430682,21.819458298480747,-1.4385508845090043,4.594053585693182,1.1464428,-0.36662984,1.0611766576766968,1.1955941,-0.13441744,0.0,0.0,active
exp5_crossing_1,40,993,agent_1,19.951692374007912,25.899928073719202,21.554429968377175,-1.3300310861782612,5.100071926280798,1.0175803,-0.15382645,1.336639642715454,2.5558963,-0.15808001,0.0,0.0,active
exp5_crossing_1,40,994,agent_1,20.743609996097298,25.371610503032862,21.284591580389776,-1.3047847465959195,5.628389496967138,0.9519732,-0.06787183,1.248531699180603,3.8090346,-0.1626866,0.0,0.0,active
exp5_crossing_1,40,995,agent_1,20.95377716566822,25.07325128777331,21.070219359607723,-0.9499428977618766,5.92674871222669,0.36494994,-0.36878875,-0.33424413204193115,3.6107955,-0.29869175,0.0,0.0,active
exp5_crossing_1,40,996,agent_1,21.148548500197144,24.719196032121836,20.802433665998095,-0.8536503984899224,6.280803967878164,0.4040928,-0.11074751,0.13484902679920197,3.7579095,-0.31095675,0.0,0.0,active
exp5_crossing_1,40,997,agent_1,21.32258413876793,24.328329037264048,20.497316581314266,-0.7841456038932904,6.671670962735952,0.42786145,-0.08403069,0.37424716353416443,4.139218,-0.3180179,0.0,0.0,active
exp5_crossing_1,40,998,agent_1,21.479361893193932,23.948069374397456,20.20010973828247,-0.7702749979043712,7.0519306256025445,0.4113109,-0.027844094,0.3078809082508087,4.447874,-0.3187932,0.0,0.0,active
exp5_crossing_1,40,999,agent_1,21.621928201573105,23.56819535358256,19.90187463213613,-0.7519714760923419,7.43180464641744,0.4057455,-0.03202453,0.3016411066055298,4.7505407,-0.31981876,0.0,0.0,active
exp5_crossing_1,40,1000,agent_1,21.75263013090393,23.172714094951807,19.58847122780384,-0.7260215796679168,7.827285905048193,0.4165194,-0.03984488,0.3984682559967041,5.1505966,-0.3214064,0.0,0.0,active
exp5_crossing_1,40,1001,agent_1,21.92227152134678,22.795980017021357,19.312021079019562,-0.8457199355152947,8.204019982978643,0.41316676,0.103911154,0.19778677821159363,5.359181,-0.33220392,0.0,0.0,active
exp5_crossing_1,40,1002,agent_1,22.062832848684998,22.491711656883417,19.093850789928986,-0.8686305370095022,8.413595360966157,0.3351667,0.009660344,-0.23890851438045502,5.1203656,-0.33229724,0.0,0.0,active
exp5_crossing_1,40,1003,agent_1,22.18182919319174,22.258117686346232,18.933463619977857,-0.9179291148793101,7.849889532428731,0.26215696,0.038392097,-0.6752241253852844,4.446615,-0.3337712,0.0,0.0,active
exp5_crossing_1,40,1004,agent_1,22.31028136010668,21.97756127579516,18.7374444498749,-0.8887908390270587,7.305352724112497,0.3085642,-0.04179035,-0.40452221035957336,4.0438395,-0.33551764,0.0,0.0,active
exp5_crossing_1,40,1005,agent_1,22.445961737590046,21.68842239244288,18.540136652327156,-0.9116569500611922,7.807921946525031,0.31939077,0.009390817,-0.37476763129234314,3.66916,-0.33560583,0.0,0.0,active
exp5_crossing_1,40,1006,agent_1,22.56401275243065,21.43730364306277,18.371658677937617,-0.9242946881847129,8.43598724756935,0.27748275,0.0006911789,-0.6026451587677002,3.0665152,-0.3356063,0.0,0.0,active
exp5_crossing_1,40,1007,agent_1,22.68843460227749,21.15389282567805,18.180515796095712,-0.91185453134735,8.31156539772251,0.30951977,-0.02576097,-0.4259096384048462,2.6412692,-0.33626994,0.0,0.0,active
exp5_crossing_1,40,1008,agent_1,22.837664978163453,20.82170579893893,17.962347317849076,-0.9365263447058134,8.162335021836547,0.36416745,0.008536333,-0.18089559674263,2.4604464,-0.3363428,0.0,0.0,active
exp5_crossing_1,40,1009,agent_1,22.973908843057366,20.497160445287882,17.748991626084038,-0.9274440211404132,8.026091156942634,0.35198307,-0.024761168,-0.229868546128273,2.231191,-0.33695593,0.0,0.0,active
