experiment,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state
exp6_empty_2,20,348,agent_1,8.236338,6.2148924,47.25333639650429,1.0074838399887085,5.214892387390137,4.9800525,-0.86339575,21.397566,22.143019,-0.7454522,0.0,0.0,active
exp6_empty_2,20,349,agent_1,12.448116,5.128765,43.27376971052734,0.4352920651435852,4.112462459633309,4.3495693,0.61101586,26.22363,48.73999,-1.1187925,0.0,0.0,active
exp6_empty_2,20,350,agent_1,16.962833,4.540105,38.96659939343574,0.34850454330444336,3.540104866027832,4.5529327,0.12272445,28.626657,77.38171,-1.1338538,0.0,0.0,active
exp6_empty_2,20,351,agent_1,21.59752,4.341357,34.50648793224424,0.29649513959884644,3.3413572311401367,4.6389475,0.08679905,29.570919,106.96016,-1.1413878,0.0,0.0,active
exp6_empty_2,20,352,agent_1,25.273537,3.0051455,31.361755959606835,0.6729987859725952,2.00514554977417,3.911337,-0.30578935,2.4093485,109.669426,-1.234895,-0.20641113817691803,0.0,active
exp6_empty_2,20,353,agent_1,26.078484,2.836287,30.65542649270476,0.5447204113006592,1.836287021636963,0.82246804,0.14186817,-1.2629898,108.70474,-1.2550216,-0.48459094762802124,0.0,active
exp6_empty_2,20,354,agent_1,26.618637,2.8454373,30.143272960667716,0.32665932178497314,1.8454372882843018,0.5402317,0.22371589,-1.595582,107.43299,-1.3050704,-0.7583703398704529,0.0,active
exp6_empty_2,20,355,agent_1,27.545626,2.9378395,29.24020763782988,0.25195038318634033,1.9378395080566406,0.93158317,0.082413435,-0.9638705,106.70869,-1.3118623,-0.9911474585533142,0.0,active
exp6_empty_2,20,356,agent_1,28.486483,2.829444,28.397302945662958,0.480991929769516,1.8294439315795898,0.9470799,-0.21405561,-1.105597,105.93042,-1.3576821,-1.2726614475250244,0.0,active
exp6_empty_2,20,357,agent_1,28.80969,2.7725053,28.116435783541178,0.5466741323471069,1.772505283355713,0.3281846,-0.059674315,-1.9021904,104.34256,-1.3612431,-1.5834319591522217,0.0,active
exp6_empty_2,20,358,agent_1,29.333725,2.7467027,27.638519854447583,0.42926135659217834,1.7467026710510254,0.52466893,0.12517935,-1.6528666,103.03034,-1.376913,-1.908412218093872,0.0,active
exp6_empty_2,20,359,agent_1,29.67573,2.7545133,27.318284391196865,0.3616076111793518,1.7545132637023926,0.34209347,0.072032616,-1.8687284,101.48741,-1.3821017,-2.229024887084961,0.0,active
exp6_empty_2,20,360,agent_1,30.132778,2.7802503,26.88534926988113,0.33367791771888733,1.7802503108978271,0.45777297,0.03341803,-1.6916977,100.103455,-1.3832184,-2.5356502532958984,0.0,active
exp6_empty_2,20,361,agent_1,30.861313,2.830863,26.193273256483725,0.3293546438217163,1.8308629989624023,0.73029065,0.013108761,-1.2967988,99.08765,-1.3833902,-2.816469669342041,0.0,active
exp6_empty_2,20,362,agent_1,31.137918,2.8764355,25.92075409109326,0.2379477471113205,1.8764355182647705,0.280334,0.09392962,-1.8835175,97.4723,-1.392213,-3.075817108154297,0.0,active
exp6_empty_2,20,363,agent_1,31.704493,2.8931344,25.393491284662897,0.37988170981407166,1.893134355545044,0.56682,-0.13382515,-1.5157833,96.22629,-1.4101222,-3.3276822566986084,0.0,active
exp6_empty_2,20,364,agent_1,31.94368,2.943564,25.1540415637304,0.20349867641925812,1.9435639381408691,0.24444604,0.17832845,-1.9250004,94.563515,-1.4419231,-3.558109760284424,0.0,active
exp6_empty_2,20,365,agent_1,32.758347,3.1216257,24.336668371321498,0.2027827948331833,2.1216256618499756,0.83389854,0.0073925206,-1.0156927,93.71445,-1.4419777,-3.7246804237365723,0.0,active
exp6_empty_2,20,366,agent_1,33.27366,3.2294512,23.822206620274578,0.21634481847286224,2.2294511795043945,0.5264704,-0.008918252,-1.4101462,92.4395,-1.4420573,-3.8597970008850098,0.0,active
exp6_empty_2,20,367,agent_1,34.07618,3.3407207,23.045779258367148,0.2947204113006592,2.3407206535339355,0.8101994,-0.06849645,-1.0112919,91.54001,-1.446749,-3.9669041633605957,0.0,active
exp6_empty_2,20,368,agent_1,35.27801,3.6266618,21.83612389706014,0.21009305119514465,2.626661777496338,1.2353792,0.0958071,-0.35611695,91.24381,-1.455928,-4.017649173736572,0.0,active
exp6_empty_2,20,369,agent_1,36.993496,2.6967947,20.74584842515424,1.0164368152618408,1.6967947483062744,1.9512908,-0.7302927,-1.0168629,91.1146,-1.9892554,-4.371976375579834,0.0,active
exp6_empty_2,20,370,agent_1,37.017994,2.6953604,20.725301909478972,0.5788490772247314,1.6953604221343994,0.024540901,0.4382349,-2.516896,89.144966,-2.1813052,-4.7271857261657715,0.0,active
