experiment,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state
exp7_fixed_random_1,20,418,agent_1,12.189348,17.891272,42.7913488385788,0.4732275903224945,3.0911073684692383,4.33358,-0.25872257,26.095829,26.162766,-0.06693737,0.0,0.0,active
exp7_fixed_random_1,20,419,agent_1,16.064651,17.31667,39.15172482661196,0.39712244272232056,0.3166694641113281,3.9176717,0.11152208,-211.59726,29.369457,-0.079374544,-14.791519165039062,-200.0,truncated
exp7_fixed_random_1,40,1714,agent_1,11.517787,28.059212,38.338846965256984,-0.3256499469280243,2.9407882690429688,0.5211617,0.11386012,-1.3171499,-1.2974067,-0.012964128,-0.006779126822948456,0.0,active
exp7_fixed_random_1,40,1715,agent_1,11.978902,28.022512,37.88036975857678,-0.13398179411888123,2.977487564086914,0.46257305,-0.19327986,-1.3963804,-2.6539001,-0.050321236,-0.00930895283818245,0.0,active
exp7_fixed_random_1,40,1716,agent_1,12.791116,28.202785,37.12639206379189,-0.44119301438331604,2.7972145080566406,0.8319795,0.29783234,-1.0269758,-3.5671306,-0.13902533,-0.03435004502534866,0.0,active
exp7_fixed_random_1,40,1717,agent_1,13.515512,28.125195,36.402852113374934,-0.11839267611503601,2.874805450439453,0.7285402,-0.32511818,-1.1055781,-4.5521746,-0.24472716,-0.04918242618441582,0.0,active
exp7_fixed_random_1,40,1718,agent_1,14.927588,28.530966,35.12415985508122,-0.5251527428627014,2.469034194946289,1.4692206,0.38652438,-0.36241162,-4.685794,-0.39412826,-0.12857350707054138,0.0,active
exp7_fixed_random_1,40,1719,agent_1,15.550533,28.204556,34.44098654236448,0.24211323261260986,2.7954444885253906,0.7032809,-0.7624654,-1.6421516,-5.721308,-0.97548175,-0.15385745465755463,0.0,active
exp7_fixed_random_1,40,1720,agent_1,18.077507,28.887234,32.17426760009325,-0.543718159198761,2.1127662658691406,2.6175659,0.74650407,0.5871057,-4.407563,-1.5327501,-0.32322874665260315,0.0,active
exp7_fixed_random_1,40,1721,agent_1,19.01236,28.336302,31.124789210085694,0.26138755679130554,2.663698196411133,1.0851147,-0.79639,-1.1954539,-4.924039,-2.1669872,-0.36796995997428894,0.0,active
exp7_fixed_random_1,40,1722,agent_1,20.751684,28.53794,29.5104007048053,-0.4089290201663971,2.4620609283447266,1.7509725,0.6479456,-0.18584298,-4.6092615,-2.5868206,-0.4487568140029907,0.0,active
exp7_fixed_random_1,40,1723,agent_1,21.674528,28.007164,28.4744813597114,0.23689891397953033,2.9928359985351562,1.0645956,-0.6373614,-0.9452707,-5.147504,-2.99305,-0.4495556652545929,0.0,active
exp7_fixed_random_1,40,1724,agent_1,24.010988,27.943748,26.221248040239015,-0.28065210580825806,3.0562515258789062,2.3373213,0.49481305,13.69597,8.793305,-3.23789,-0.4495556652545929,0.0,active
exp7_fixed_random_1,40,1725,agent_1,25.171728,27.977148,25.128100430005347,-0.35181522369384766,3.0228519439697266,1.1612201,0.05590162,5.785053,14.581484,-3.241015,-0.4495556652545929,0.0,active
exp7_fixed_random_1,40,1726,agent_1,25.956444,27.905842,24.362015884546658,-0.2398795485496521,3.094158172607422,0.78794837,-0.11938576,3.3920667,17.987804,-3.2552679,-0.4495556652545929,0.0,active
exp7_fixed_random_1,40,1727,agent_1,26.359917,28.015417,24.017083163656164,-0.6054506301879883,2.9845829010009766,0.4180882,0.35580382,-1.6161546,16.499973,-3.3818643,-0.45128196477890015,0.0,active
exp7_fixed_random_1,40,1728,agent_1,26.813656,28.06027,23.60512283506374,-0.4470035433769226,2.939729690551758,0.45594978,-0.16665356,-1.4403371,15.094314,-3.4096377,-0.4581860303878784,0.0,active
exp7_fixed_random_1,40,1729,agent_1,27.246181,28.211468,23.25202834903729,-0.6972269415855408,2.788532257080078,0.45819163,0.2377596,-1.5463952,13.630685,-3.4661672,-0.4844227731227875,0.0,active
exp7_fixed_random_1,40,1730,agent_1,27.63181,28.208618,22.890631025576482,-0.35938170552253723,2.7913818359375,0.38563848,-0.34367818,-1.6283052,12.1463375,-3.584282,-0.5102658867835999,0.0,active
exp7_fixed_random_1,40,1731,agent_1,28.129768,28.38554,22.4918618495385,-0.7234365940093994,2.614459991455078,0.5284542,0.3487722,-1.5642703,10.756489,-3.705924,-0.5630450248718262,0.0,active
exp7_fixed_random_1,40,1732,agent_1,28.78366,28.259174,21.838368253079256,-0.19694742560386658,2.740825653076172,0.66599035,-0.5322833,-1.3964463,9.676378,-3.9892495,-0.5960555672645569,0.0,active
exp7_fixed_random_1,40,1733,agent_1,29.188122,28.511114,21.562689571473225,-0.9628445506095886,2.4888858795166016,0.47651076,0.74798596,-2.1686816,8.142661,-4.5487323,-0.6715371012687683,0.0,active
exp7_fixed_random_1,40,1734,agent_1,29.848555,28.253782,20.854322867912355,-0.03537622094154358,2.746217727661133,0.70879483,-0.92863095,-1.9026978,7.134546,-5.4110875,-0.7037642598152161,0.0,active
exp7_fixed_random_1,40,1735,agent_1,30.619507,28.544788,20.269581571446416,-0.7960909605026245,2.455211639404297,0.82404673,0.7324729,-1.7043259,6.048906,-5.947604,-0.7859337329864502,0.0,active
exp7_fixed_random_1,40,1736,agent_1,31.442165,27.884483,19.246886351438697,0.2542839050292969,2.8844833374023438,1.0548787,-1.0372831,-1.6449258,5.4935527,-7.0235605,-0.7995502352714539,0.0,active
exp7_fixed_random_1,40,1737,agent_1,32.951736,27.95802,17.91303529422849,-0.5090212821960449,2.958019256591797,1.5113621,0.7250289,-0.59203535,5.4319487,-7.549227,-0.8043145537376404,0.0,active
exp7_fixed_random_1,40,1738,agent_1,35.724407,27.100344,15.055106941318352,-0.19113534688949585,2.921954870223999,2.9022942,-0.34867057,1.8882526,7.4507947,-7.6707983,-0.8133367896080017,0.0,active
exp7_fixed_random_1,40,1739,agent_1,38.88708,27.350609,12.502102937144105,-0.7074880003929138,3.6493911743164062,3.1725585,0.37896183,16.966526,24.560932,-7.81441,-0.8133367896080017,0.0,active
exp7_fixed_random_1,40,1740,agent_1,41.582256,26.712646,10.004126357099913,-0.5031131505966187,4.287353515625,2.7696521,-0.3113931,15.93222,40.59012,-7.911376,-0.8133367896080017,0.0,active
exp7_fixed_random_1,40,1741,agent_1,42.825268,27.43424,9.66412165145644,-1.4036574363708496,3.5657596588134766,1.4372818,0.75839937,1.9994178,43.164707,-8.486546,-0.8133367896080017,0.0,active
exp7_fixed_random_1,40,1742,agent_1,43.141796,27.282423,9.346241909253667,-0.4461391866207123,3.7175769805908203,0.3510537,-0.9731929,-0.65559804,43.456215,-9.43365,-0.8133367896080017,0.0,active
exp7_fixed_random_1,40,1743,agent_1,43.936054,27.686863,9.204966523999044,-1.4592589139938354,3.3131370544433594,0.8912995,0.91820526,-0.3541249,43.94519,-10.276751,-0.8133367896080017,0.0,active
exp7_fixed_random_1,40,1744,agent_1,44.43063,27.38647,8.685568229133564,-0.4709790349006653,3.364372730255127,0.5786524,-1.0168085,0.72039676,45.699486,-11.31065,-0.8133367896080017,0.0,active
exp7_fixed_random_1,40,1745,agent_1,44.81192,27.561092,8.643502219873222,-1.4944312572479248,3.262709140777588,0.41937637,0.97529024,-1.9021083,44.74857,-12.261841,-0.8133367896080017,0.0,active
exp7_fixed_random_1,40,1746,agent_1,46.527233,26.368658,6.8318651613714865,-0.5929642915725708,1.4275351762771606,2.089065,-1.0369438,-0.99739,45.395832,-13.337093,-1.382737636566162,0.0,active
exp7_fixed_random_1,40,1747,agent_1,47.321808,26.646788,6.855371239487225,-1.6601886749267578,1.6467876434326172,0.84184766,0.94418263,-2.9646971,43.709064,-14.228574,-1.7691867351531982,0.0,active
exp7_fixed_random_1,40,1748,agent_1,48.08341,26.273357,6.339964763472723,-0.9698384404182434,1.2733573913574219,0.84822536,-0.79258114,-2.5319254,42.563763,-14.856759,-2.5276241302490234,0.0,active
exp7_fixed_random_1,40,1749,agent_1,48.98242,26.384933,6.3849576684778535,-1.6915204524993896,1.3849334716796875,0.9059119,0.579353,-2.6336594,40.881134,-15.192409,-3.14300537109375,0.0,active
exp7_fixed_random_1,40,1750,agent_1,49.342884,26.114311,6.123917957885681,-0.9828251600265503,1.1503242254257202,0.4507432,-0.76746863,-3.1145806,39.32247,-15.781417,-4.109914779663086,0.0,active
exp7_fixed_random_1,40,1751,agent_1,51.230633,25.399284,5.841917000296676,-1.6005008220672607,1.9050853252410889,2.0186262,0.28191787,-1.2366567,38.411922,-15.860894,-4.356545448303223,0.0,active
exp7_fixed_random_1,40,1752,agent_1,51.446194,24.07873,4.756038160537489,-0.7020390033721924,1.9461936950683594,1.338033,-1.0469148,-1.7042937,38.033016,-16.956924,-4.585900783538818,0.0,active
