experiment,episode,return_total,mean_v,mean_abs_omega,success_rate,collision_rate,mean_time_travel
exp7_fixed_random_1,1,-311.19144,4.8957253,0.5091751,0.0,1.0,3.0
exp7_fixed_random_1,2,-302.83997,2.6815617,0.9595984,0.0,1.0,9.0
exp7_fixed_random_1,3,-195.80327,4.8324637,0.7491703,0.0,1.0,3.0
exp7_fixed_random_1,4,-289.919,4.9771047,0.7235512,0.0,1.0,6.0
exp7_fixed_random_1,5,538.78766,4.405624,0.65046215,1.0,0.0,9.0
exp7_fixed_random_1,6,-332.8631,1.9848967,0.18283208,0.0,1.0,4.0
exp7_fixed_random_1,7,-322.08975,3.9973605,0.6889782,0.0,1.0,4.0
exp7_fixed_random_1,8,543.33014,2.1442575,0.47934166,1.0,0.0,21.0
exp7_fixed_random_1,9,543.7002,1.6062816,0.39071107,1.0,0.0,32.0
exp7_fixed_random_1,10,-339.62082,4.6709166,0.9869966,0.0,1.0,1.0
exp7_fixed_random_1,11,530.2058,1.3787997,0.37994215,1.0,0.0,44.0
exp7_fixed_random_1,12,-93.6289,4.652959,0.5924359,0.0,1.0,8.0
exp7_fixed_random_1,13,-282.85788,0.14630714,0.93166524,0.0,0.0,100.0
exp7_fixed_random_1,14,-343.178,2.4660406,0.7279484,0.0,1.0,4.0
exp7_fixed_random_1,15,471.0349,2.2427466,0.6815872,1.0,0.0,15.0
exp7_fixed_random_1,16,521.6172,1.6951762,0.6854493,1.0,0.0,30.0
exp7_fixed_random_1,17,-183.29056,4.4645777,0.49504596,0.0,1.0,5.0
exp7_fixed_random_1,18,-81.0139,0.3215253,0.5179986,0.0,0.0,100.0
exp7_fixed_random_1,19,548.56714,2.3787596,0.561373,1.0,0.0,19.0
exp7_fixed_random_1,21,-198.27748,1.807367,0.5954259,0.0,1.0,5.0
exp7_fixed_random_1,22,556.6776,1.9740356,0.5951158,1.0,0.0,25.0
exp7_fixed_random_1,23,-186.882,1.2328123,0.59526175,0.0,1.0,24.0
exp7_fixed_random_1,24,-244.75294,0.27388316,0.98495483,0.0,0.0,100.0
exp7_fixed_random_1,25,-274.54996,3.884257,0.48829684,0.0,1.0,4.0
exp7_fixed_random_1,26,-275.8952,0.14209618,1.0436697,0.0,0.0,100.0
exp7_fixed_random_1,27,425.69855,0.66692716,0.37165296,1.0,0.0,65.0
exp7_fixed_random_1,28,-322.5794,0.117467515,1.0403231,0.0,0.0,100.0
