task,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state
task8_random_1,20,454,agent_1,29.168945,4.9625072,12.696324591194738,2.864410400390625,3.9625072479248047,0.17305517,-0.21838506,-2.5333843,-2.4856923,-0.047692034,0.0,0.0,active
task8_random_1,20,455,agent_1,29.207117,4.9142914,12.752855470264523,-2.7379150390625,3.9142913818359375,0.061496496,-0.6827623,-2.6258256,-4.6453533,-0.5138564,0.0,0.0,active
task8_random_1,20,456,agent_1,29.145914,4.755166,12.776124281046403,-1.7143186330795288,3.7551660537719727,0.17048931,-1.036828,-2.850378,-6.4207187,-1.5888689,0.0,0.0,active
task8_random_1,20,457,agent_1,28.457357,4.599784,12.260468591766488,-0.7711637616157532,3.5997838973999023,0.705871,-0.9816715,1.0263416,-4.4306984,-2.552548,0.0,0.0,active
task8_random_1,20,458,agent_1,27.57795,5.00867,11.297484410730533,-0.12376195937395096,4.008669853210449,0.96981823,-0.6571666,4.3226895,0.3238592,-2.9844158,0.0,0.0,active
task8_random_1,20,459,agent_1,26.629791,5.5231757,10.221002955706266,-0.06833011656999588,4.5231757164001465,1.0787593,-0.061951436,5.5360875,5.863785,-2.9882538,0.0,0.0,active
task8_random_1,20,460,agent_1,25.663218,5.79939,9.261276865534763,-0.31790193915367126,4.799389839172363,1.0052651,0.21882468,4.761276,10.672945,-3.036138,0.0,0.0,active
task8_random_1,20,461,agent_1,24.637537,5.9694414,8.328470276634905,-0.48423561453819275,4.9694414138793945,1.0396812,0.11404843,4.730388,15.41634,-3.049145,0.0,0.0,active
task8_random_1,20,462,agent_1,23.497362,6.3983393,7.169119326902872,-0.3371432423591614,5.39833927154541,1.2181756,-0.19549529,6.194888,21.649446,-3.0873635,0.0,0.0,active
task8_random_1,20,463,agent_1,22.629414,6.791264,6.256590809720255,-0.3127349019050598,5.791264057159424,0.9527451,-0.06530658,4.463868,26.11758,-3.0916283,0.0,0.0,active
task8_random_1,20,464,agent_1,22.081188,7.099844,5.645114182053991,-0.2500494122505188,6.099843978881836,0.6291046,-0.08756934,2.3079238,28.433172,-3.0992968,0.0,0.0,active
task8_random_1,20,465,agent_1,21.49957,7.29219,5.0985145435305865,-0.4948962330818176,5.903406539797385,0.61259806,0.19328435,1.9208354,30.391367,-3.1366556,0.0,0.0,active
task8_random_1,20,466,agent_1,21.142992,7.463552,4.731264451018899,-0.39625102281570435,5.380644901672352,0.39561796,-0.12859815,0.61094874,31.018852,-3.153193,0.0,0.0,active
task8_random_1,20,467,agent_1,20.774195,7.6450925,4.353339034422295,-0.42243510484695435,4.104681338993995,0.41105795,-0.009443402,0.7116537,31.730595,-3.1532822,0.0,0.0,active
task8_random_1,20,468,agent_1,20.449644,7.7779346,4.047525406668034,-0.532245934009552,4.1923603888858185,0.35068488,0.068920076,0.22568777,31.961033,-3.1580322,0.0,0.0,active
task8_random_1,20,469,agent_1,20.168934,8.022493,3.6837236463015093,-0.2245534062385559,4.471314729471345,0.37229967,-0.3281761,0.4559086,32.524643,-3.2657318,0.0,0.0,active
task8_random_1,20,470,agent_1,19.91926,8.167145,3.4217872182900777,-0.45022422075271606,4.343516471020496,0.2885499,0.19157684,-0.14991975,32.411427,-3.3024335,0.0,0.0,active
task8_random_1,20,471,agent_1,19.537262,8.497281,2.9371374435811566,-0.3072732388973236,5.234279031141377,0.504889,-0.1875944,1.3978351,33.84445,-3.3376253,0.0,0.0,active
task8_random_1,20,472,agent_1,19.341295,8.855605,2.529328429669857,0.05849235877394676,5.34129524230957,0.4084108,-0.35763636,0.7279629,34.700317,-3.465529,0.0,0.0,active
task8_random_1,20,473,agent_1,19.281904,8.878897,2.478378014705621,-0.6534493565559387,5.281904220581055,0.06379557,0.6966076,-2.1029189,33.08266,-3.9507911,0.0,0.0,active
task8_random_1,20,474,agent_1,19.247322,8.933278,2.4139494312095713,-0.023399654775857925,5.247322082519531,0.064445496,-0.6306578,-1.9466953,31.533695,-4.3485203,0.0,0.0,active
task8_random_1,20,475,agent_1,19.133928,8.988919,2.3087310665233494,-0.6012170910835266,5.133928298950195,0.12631011,0.54821527,-1.5218279,30.312407,-4.6490602,0.0,0.0,active
task8_random_1,20,476,agent_1,19.031307,9.1113825,2.1518528534883234,-0.197651207447052,5.031307220458984,0.15977597,-0.4171562,-1.0700763,29.41635,-4.8230796,0.0,0.0,active
task8_random_1,20,477,agent_1,18.920464,9.179359,2.0400944174585462,-0.5525820851325989,4.920463562011719,0.13002801,0.3232088,-1.2856158,28.235197,-4.9275436,0.0,0.0,active
task8_random_1,20,478,agent_1,18.815739,9.32732,1.860991037692321,-0.16218310594558716,4.815738677978516,0.18127227,-0.40474766,-0.9057593,27.49326,-5.0913644,0.0,0.0,active
task8_random_1,20,479,agent_1,18.708326,9.393248,1.7559554277958993,-0.6050885319709778,4.70832633972168,0.12603045,0.40437302,-1.3862786,26.270498,-5.254882,0.0,0.0,active
task8_random_1,20,480,agent_1,18.646505,9.476804,1.6547192816178482,-0.2355979084968567,4.646505355834961,0.10394001,-0.3833075,-1.4328638,24.984558,-5.4018064,0.0,0.0,active
task8_random_1,20,481,agent_1,18.557117,9.545536,1.5575125276914825,-0.5494950413703918,4.557117462158203,0.11275792,0.27830103,-1.3659018,23.696108,-5.4792576,0.0,0.0,active
