experiment,episode,return_total,reward_progress,reward_collision,reward_safety,reward_rotation
task8_random_1,1,-248.01743,106.43061,-200.0,-151.94635817666605,-2.501674
task8_random_1,2,102.48163,317.69455,-200.0,-7.89310359954834,-7.319856
task8_random_1,3,853.1387,872.1564,0.0,-4.2578935623168945,-14.759815
task8_random_1,4,-265.9015,-0.4776429,-200.0,-64.89313507080078,-0.5306944
task8_random_1,5,-336.01254,15.865685,-200.0,-150.1102566536839,-1.7679946
task8_random_1,6,-287.81445,71.64734,-200.0,-154.5679473876953,-4.893843
task8_random_1,7,816.41876,825.0135,0.0,-1.1175510883331299,-7.4772763
task8_random_1,8,930.6974,945.3418,0.0,-4.6414642333984375,-10.002994
task8_random_1,9,181.32474,414.51636,-200.0,-29.059873580932617,-4.131721
task8_random_1,10,163.37978,397.17917,-200.0,-29.58135986328125,-4.2180157
task8_random_1,11,-214.84822,-2.6038964,-200.0,-9.859077215809661,-2.3852615
task8_random_1,12,-327.28665,24.823324,-200.0,-151.37418543633765,-0.7357947
task8_random_1,13,224.73569,579.3776,-200.0,-150.5237579345703,-4.1182647
task8_random_1,14,883.45654,926.1284,0.0,-32.13404083251953,-10.537877
task8_random_1,15,-330.96695,23.707481,-200.0,-153.2186279296875,-1.4558005
task8_random_1,16,163.07376,421.57162,-200.0,-45.919281005859375,-12.578635
task8_random_1,17,-315.15738,34.91581,-200.0,-149.83333333333331,-0.23989394
task8_random_1,18,-312.29745,44.325073,-200.0,-154.21766662597656,-2.40488
task8_random_1,19,153.29576,372.582,-200.0,-12.768438339233398,-6.5178747
task8_random_1,21,189.15762,543.14417,-200.0,-149.83333333333331,-4.1532316
task8_random_1,22,278.11017,497.8798,-200.0,-17.642425537109375,-2.127222
task8_random_1,23,112.85782,476.71716,-200.0,-151.26654052734375,-12.592807
task8_random_1,24,857.60767,915.4547,0.0,-8.353888511657715,-49.49307
task8_random_1,25,-164.05072,45.78375,-200.0,-8.248985290527344,-1.5854906
task8_random_1,26,256.84006,530.98505,-200.0,-69.1679916381836,-4.9770837
task8_random_1,27,-378.39124,-19.35907,-200.0,-152.6550750732422,-6.37708
task8_random_1,28,-344.31467,6.1241665,-200.0,-150.01727294921875,-0.42156953
task8_random_1,29,-318.75223,33.543938,-200.0,-150.77162170410156,-1.5245607
task8_random_1,30,-269.96542,-12.311581,-200.0,-48.149436950683594,-9.504402
task8_random_1,31,1004.18823,1017.07184,0.0,-0.25805428624153137,-12.625686
task8_random_1,32,151.54129,416.63458,-200.0,-62.29270935058594,-2.8005838
task8_random_1,33,-303.3269,-66.738716,-200.0,-33.65686798095703,-2.931327
task8_random_1,34,220.68802,456.3088,-200.0,-24.38618278503418,-11.234607
task8_random_1,35,134.89255,492.74564,-200.0,-150.4466094970703,-7.406478
task8_random_1,36,950.6,965.6301,0.0,-7.364161014556885,-7.665976
