experiment,episode,return_total,mean_v,mean_abs_omega,success_rate,collision_rate,mean_time_travel
task8_random_1,1,453.59534,0.13898279,0.388531,1.0,0.0,177.0
task8_random_1,2,19.656372,1.4645183,0.79910076,0.0,1.0,13.0
task8_random_1,3,208.90198,0.5428432,0.23320696,0.0,1.0,50.0
task8_random_1,4,-224.28587,1.1254781,0.7568065,0.0,1.0,7.0
task8_random_1,5,29.308167,0.8938516,0.3380333,0.0,1.0,58.0
task8_random_1,6,-387.41824,1.503903,0.5188005,0.0,1.0,27.0
task8_random_1,7,-341.63367,1.3783828,0.26729333,0.0,1.0,8.0
task8_random_1,8,-322.66647,2.943246,0.40331876,0.0,1.0,4.0
task8_random_1,9,203.92227,1.4670042,0.340843,0.0,1.0,30.0
task8_random_1,10,-249.50514,0.476123,0.20274602,0.0,1.0,14.0
task8_random_1,11,-372.264,3.4972394,0.77483463,0.0,1.0,3.0
task8_random_1,12,260.46356,1.2803081,0.3995835,0.0,1.0,35.0
task8_random_1,13,188.42029,1.5747619,0.59266484,0.0,1.0,41.0
task8_random_1,14,-238.31917,1.8246855,0.7743666,0.0,1.0,9.0
task8_random_1,15,-354.6683,4.655667,0.9845213,0.0,1.0,1.0
task8_random_1,16,-210.5011,1.1469821,0.21414392,0.0,1.0,24.0
task8_random_1,17,-284.50555,0.78380483,0.24049562,0.0,1.0,53.0
task8_random_1,18,156.27829,1.1169497,0.33100882,0.0,1.0,56.0
task8_random_1,19,-349.32608,0.70536864,0.42186219,0.0,1.0,7.0
task8_random_1,21,-236.8289,0.80294293,0.50487787,0.0,1.0,19.0
task8_random_1,22,866.2588,0.9236597,0.4260076,1.0,0.0,20.0
task8_random_1,23,1063.2534,1.9667522,0.3762419,1.0,0.0,43.0
task8_random_1,24,-185.18132,2.0039134,0.81822336,0.0,1.0,5.0
task8_random_1,25,245.73793,1.2595383,0.5560122,0.0,1.0,21.0
task8_random_1,26,-349.0305,2.6627762,0.44250986,0.0,1.0,6.0
task8_random_1,27,238.63431,1.8851253,0.47252733,0.0,1.0,21.0
task8_random_1,28,-362.42224,1.4513158,0.8713191,0.0,1.0,7.0
task8_random_1,29,97.61902,1.8089187,0.7907623,0.0,1.0,14.0
task8_random_1,30,-268.99442,1.6479557,0.2320306,0.0,1.0,10.0
task8_random_1,31,-168.456,1.7727258,0.6285228,0.0,1.0,23.0
task8_random_1,32,-418.53354,2.5363703,0.71309614,0.0,1.0,19.0
task8_random_1,33,41.908478,1.7258812,0.7156981,0.0,1.0,20.0
task8_random_1,34,63.84555,2.5266895,0.49009728,0.0,1.0,14.0
task8_random_1,35,-295.5547,1.2721139,0.21416898,0.0,1.0,25.0
